,date,close,volume,trend,fg_index,cluster,log_return,hl_spread,momentum_3,vol_change
0,2018-02-07,7599.0,60778.460497,49,36.0,0,-0.0069686875933519,1325.9899999999998,-585.8100000000004,-39423.03981
1,2018-02-08,7784.02,1521.537318,41,30.0,0,0.0240562545658283,271.90999999999985,844.0300000000007,-59256.923179
2,2018-02-09,8683.92,20482.910825,35,44.0,0,0.1094001253755937,948.1000000000004,1031.7799999999995,18961.373507
3,2018-02-10,8533.98,49381.512653,28,54.0,0,-0.0174171984329166,945.7800000000008,934.9799999999996,28898.601828
4,2018-02-11,8063.88,45025.187952,25,31.0,4,-0.0566610109302438,822.4700000000003,279.8599999999997,-4356.324700999998
5,2018-02-12,8903.0,41987.85049,28,42.0,0,0.0989934683256246,936.0,219.07999999999996,-3037.337462000003
6,2018-02-13,8539.9,35454.972956,25,35.0,4,-0.0416390004614871,599.0,5.920000000000073,-6532.877533999999
7,2018-02-14,9449.99,40811.952867,25,55.0,6,0.1012643851739862,956.6000000000004,1386.1099999999997,5356.979911000002
8,2018-02-15,10000.09,52427.596715,27,71.0,6,0.0565804096495125,918.0,1097.09,11615.643848
9,2018-02-16,10159.98,38161.205974,25,67.0,6,0.0158623806909152,657.3700000000008,1620.08,-14266.390741000005
10,2018-02-17,11039.55,41882.108407,22,74.0,6,0.0830278055041758,1025.0699999999997,1589.5599999999995,3720.902433000003
11,2018-02-18,10383.43,61137.380728,25,63.0,6,-0.0612730128352882,1194.0,383.34000000000015,19255.272321
12,2018-02-19,11153.0,40831.417131,22,67.0,6,0.071497253699051,979.67,993.0200000000004,-20305.963596999994
13,2018-02-20,11200.99,48153.354288,27,74.0,6,0.0042936472393734,685.4200000000001,161.4400000000005,7321.937157
14,2018-02-21,10437.6,68113.818754,26,54.0,6,-0.0705874962823719,1104.0300000000009,54.17000000000007,19960.464466000005
15,2018-02-22,9811.04,67060.166483,23,44.0,4,-0.0619063887400933,1254.4400000000005,-1341.9599999999991,-1053.6522710000136
16,2018-02-23,10131.04,57202.70237,21,39.0,4,0.0320956961120018,864.8099999999995,-1069.949999999999,-9857.464112999996
17,2018-02-24,9694.51,40888.156299,18,31.0,4,-0.0440442324402057,1144.9699999999991,-743.0900000000001,-16314.546070999995
18,2018-02-25,9590.0,28373.517586,18,33.0,4,-0.0108388570057573,572.2000000000007,-221.04000000000087,-12514.638713
19,2018-02-26,10324.0,34878.292756,19,37.0,4,0.0737503929610206,1094.3199999999997,192.95999999999916,6504.775170000001
20,2018-02-27,10569.04,30705.385123,19,44.0,4,0.0234576908169124,749.0,874.5300000000007,-4172.9076330000025
21,2018-02-28,10326.76,30800.983782,19,41.0,4,-0.0231903883044203,798.0,736.7600000000002,95.59865899999932
22,2018-03-01,10920.0,25092.55393,18,38.0,4,0.0558573859478995,820.4099999999999,596.0,-5708.429852000001
23,2018-03-02,11039.0,23910.71009,17,47.0,4,0.0108384867194556,430.0,469.9599999999991,-1181.8438399999975
24,2018-03-03,11464.48,21287.15328,17,56.0,6,0.0378191028154963,528.9899999999998,1137.7199999999991,-2623.556810000002
25,2018-03-04,11515.0,17295.918653,15,44.0,4,0.0043969734209376,514.9799999999996,595.0,-3991.234626999998
