,volatility
0,0.04136681005307444
1,0.039279863147646595
2,0.025947024718552973
3,0.026309004111804035
4,0.0340150389655142
5,0.03409790039587946
6,0.033077149839463964
7,0.03307600414809568
8,0.021555280328877022
9,0.007779521583174551
10,0.01040872397074714
11,0.009293835239975526
12,0.009442415301783864
13,0.013206321547311854
14,0.012260121035948042
15,0.012126436919857854
16,0.019218875954239944
17,0.016725294643177985
18,0.024155052650964542
19,0.029190969292072228
20,0.029038752427769012
21,0.02610405111906618
22,0.013241229223726848
23,0.029672003414769426
24,0.030711122165889948
25,0.03387643434990094
26,0.03399644287067697
27,0.03516837982504414
28,0.020640562720037194
29,0.023748984879238363
30,0.023023071617458125
31,0.023086754945134107
32,0.023817632913850185
33,0.023874569095183235
34,0.018372300630043095
35,0.016410189905864014
36,0.018205859375298113
37,0.011322397838033632
38,0.01510605467915381
39,0.01956357481924893
40,0.02115386290529466
41,0.020638536780230674
42,0.018670771272817892
43,0.015890080129206705
44,0.024609378162943528
45,0.021091009181228058
46,0.03339567538448944
47,0.03532741794865462
48,0.03551032985488373
49,0.029591800820697872
50,0.027868525283741386
51,0.030289217797297853
52,0.033139827326878625
53,0.03277331685189142
54,0.033111822936543224
55,0.052851349010518536
56,0.03611246215167234
57,0.03629079593783107
58,0.037858121034062255
59,0.04063882684268358
60,0.01820294508158823
61,0.02371120599384435
62,0.021663185115780154
63,0.01911673345361896
64,0.0162766211200589
65,0.025022518749036132
66,0.024258692616564034
67,0.02378687574014948
68,0.023492194466401838
69,0.03401940019599485
70,0.018998524383124712
71,0.02011487046492703
72,0.021419502942853566
73,0.0226594272561909
74,0.01597194580394072
75,0.01635845616019946
76,0.01600613192369479
77,0.008616177026425994
78,0.008970036379254125
79,0.008237878203787321
80,0.007384050364060504
81,0.014925313611494694
82,0.015135575560711679
83,0.014837226648201472
84,0.012368990824601828
85,0.011775066911541876
86,0.012449978553477159
87,0.017816818210477342
88,0.01823800758623839
89,0.01979489863409788
90,0.020451817015909743
91,0.02002936500953565
92,0.01903182053010803
93,0.007915324858271029
94,0.008999823552259579
95,0.009602325387061073
96,0.009964275850270193
97,0.008405963394296546
98,0.012618887212687727
99,0.011644977720198959
100,0.025938149737236387
101,0.026991631835250444
102,0.03402902278081055
103,0.04365064311525661
104,0.04121085157507438
105,0.04427300529228849
106,0.04284087316212716
107,0.03791185253965301
108,0.05302240448499959
109,0.05438029626679855
110,0.05349042265251257
111,0.053511165961909024
112,0.0403652991703226
113,0.012850465506645037
114,0.016142891264030512
115,0.020044495827421085
116,0.020322563170853545
117,0.02637725605698645
118,0.030782043250158382
119,0.03072196878710446
120,0.04303535052500205
121,0.03941295427745499
122,0.0512908258872809
123,0.07417592937008984
124,0.0697680859856746
125,0.06530296339232727
126,0.06575879170681208
127,0.05314749937203924
128,0.03771052954172365
129,0.030647017865364782
130,0.025214747548893482
131,0.02398146602997512
132,0.021228233552368702
133,0.012175989962655101
134,0.016647300594790877
135,0.020335954494584772
136,0.03133786795402521
137,0.03307088323370986
138,0.03992471725545992
139,0.03689800477726888
140,0.03751461762959657
141,0.017235095537892004
142,0.01918896290816528
143,0.02565983219605979
144,0.02587472010674899
145,0.026401235930210546
146,0.032995266028948665
147,0.028867871888543048
148,0.03487931824828903
149,0.0309702914163679
150,0.03310681099803836
151,0.03277542250554622
152,0.03466041563578697
153,0.03148072559451121
154,0.02788993413649675
155,0.027953598823078366
156,0.014862901828616142
157,0.013898780835861503
158,0.02345217307063388
159,0.02184012949818802
160,0.02224880086863206
161,0.013466133092329606
162,0.013520965912137748
163,0.00897469164773358
164,0.023476354550317005
165,0.02625659849332785
166,0.029198229988456816
167,0.04566706764866054
168,0.045989296922179415
169,0.03625288764840162
170,0.028533118751266455
171,0.03152801522465945
172,0.014140674676758865
173,0.019859364199069286
174,0.024624727661128793
175,0.02496796460941672
176,0.025852791836068315
177,0.026316491419437916
178,0.024371190305328864
179,0.035160652165113486
180,0.03753419444722186
181,0.03788843572065362
182,0.0385208215927865
183,0.036120412716683876
184,0.03719226391133167
185,0.037936918945498076
186,0.03898774173803558
187,0.04040865441857453
188,0.03978657655154195
189,0.014488360524886914
190,0.01330634650314954
191,0.014141440989058342
192,0.013390015240555846
193,0.013585908878990255
194,0.013474849139446743
195,0.013571623549396585
196,0.011052907614867578
197,0.009526132760843757
198,0.01044401690401992
199,0.014185876073475757
200,0.009937377255162938
201,0.011721194029695563
202,0.01767408680231694
203,0.016681734635975373
204,0.011179250013203282
205,0.009621487678997426
206,0.015807197278751635
207,0.01754025102922302
208,0.019300395350790662
209,0.018030954168807633
210,0.018670049391777143
211,0.014489012149456588
212,0.011530857700389708
213,0.01084833760205807
214,0.010292570737708227
215,0.009823597201295513
216,0.007954005687635728
217,0.00886777432772793
218,0.007538165303255101
219,0.019486306898860585
220,0.026364107633564168
221,0.0264883074730819
222,0.0283409207129598
223,0.02873558633704417
224,0.0195894154128102
225,0.020805878398577272
226,0.01824881027063118
227,0.01936373114961964
228,0.022697588916841958
229,0.031590684606167506
230,0.022267168074586702
231,0.030364469505309133
232,0.03236477810667369
233,0.03529602967697668
234,0.028615986053943002
235,0.028454749708281966
236,0.02516078814521207
237,0.013090048229036142
238,0.01452796057552659
239,0.015407968014528008
240,0.025706976326325567
241,0.022709612293268563
242,0.028723498521829687
243,0.03024993966270457
244,0.03217590793744663
245,0.020631118530548238
246,0.020839684816778295
247,0.019342127098536582
248,0.024668607027717514
249,0.01530889207479043
250,0.015183304712156159
251,0.021007499207288043
252,0.02046473891652897
253,0.01498347706381378
254,0.018995148971332875
255,0.019786409658560877
256,0.012818086989140961
257,0.015659076083762234
258,0.026328831067818154
259,0.02653810766633106
260,0.02758187795792451
261,0.03480257667152615
262,0.04395726961674875
263,0.04076617805124701
264,0.07317605056725116
265,0.06970435835844903
266,0.053594109424965626
267,0.05912602588774314
268,0.05744488824049983
269,0.022576103401388936
270,0.02584069878615502
271,0.025801709314822414
272,0.024861848831812052
273,0.02483051057377123
274,0.022923816058108455
275,0.020049653625969294
276,0.01716023105420072
277,0.020994460370989808
278,0.022719393361088535
279,0.029863815585926858
280,0.03078323040170022
281,0.029485494570929006
282,0.031484791909537346
283,0.04190983955829796
284,0.024129520638027036
285,0.024850332855561184
286,0.0241152276065231
287,0.024595777481366782
288,0.012829717734862953
289,0.021607400704137095
290,0.02463875176821462
291,0.02554513691031496
292,0.028261854855573487
293,0.030573626941910636
294,0.022035995412582342
295,0.024617254092568645
296,0.03257056152511874
297,0.02866709793291125
298,0.01649138051125811
299,0.015798136283928923
300,0.01946039234490746
301,0.01920921001172277
302,0.022108598080260385
303,0.02376160181538567
304,0.02783681176650082
305,0.023748566087359257
306,0.023300440767264327
307,0.019719019352476615
308,0.01389780834803217
309,0.01003998615910759
310,0.00842947854250042
311,0.0065676983731603735
312,0.01168058273205388
313,0.01852235566234692
314,0.01853220927095571
315,0.017937898538296086
316,0.018110311374811804
317,0.024169018718226486
318,0.02254757242204787
319,0.020037213921053686
320,0.02011787164491628
321,0.02631673068504818
322,0.022640119061522686
323,0.010216903221937478
324,0.012069791194149835
325,0.012321879026360769
326,0.013655218684804312
327,0.013447848945699097
328,0.02252390419566368
329,0.02239236372985796
330,0.022673599866965245
331,0.02485368023567765
332,0.021782170037411494
333,0.020575985522396402
334,0.02222571520360696
335,0.019782760230160717
336,0.00840513190779571
337,0.007405312365085584
338,0.015042678337658018
339,0.014996734764257084
340,0.012962055082735707
341,0.018168787057275863
342,0.01929541229969509
343,0.017091463393621463
344,0.018338126003164788
345,0.01974331495802048
346,0.02340824775743937
347,0.017576107079432537
348,0.027001017059523364
349,0.028279251244759093
350,0.024942130445134884
351,0.010472333054428337
352,0.009966410968148086
353,0.01456920280028403
354,0.04085573101153961
355,0.04030111678257918
356,0.038144197806218326
357,0.035072350957482144
358,0.03640423225147592
359,0.041294925079086366
360,0.043548712562484014
361,0.042071907273761824
362,0.05103845542988862
363,0.05053160702832632
364,0.03015554025624796
365,0.030177911497540125
366,0.027573466283199066
367,0.02034091434336246
368,0.013649523222928945
369,0.01856788529297309
370,0.014596782080015734
371,0.02013407080847775
372,0.020633439713173184
373,0.033667409240901794
374,0.022662824868534607
375,0.033325023602506075
376,0.03316217874106097
377,0.03475383423867412
378,0.022749382616282888
379,0.020340136857024876
380,0.013558754573674106
381,0.013502027011799667
382,0.016903887693592187
383,0.018216951883753045
384,0.022036165344775514
385,0.019690770619896547
386,0.019201196358403748
387,0.02603036332691999
388,0.025056084872078225
389,0.030701153748320092
390,0.0313488397341139
391,0.031491045477121865
392,0.023059827221595993
393,0.022762387494520583
394,0.015598029659848085
395,0.012202244409827033
396,0.03309281110088121
397,0.03486682772133336
398,0.029368541494309102
399,0.02562761059301111
400,0.023578511516501734
401,0.013259542188194248
402,0.02251080121424103
403,0.02263935208429881
404,0.029231030167408262
405,0.02835676150167983
406,0.028858677433034097
407,0.019722367172768027
408,0.017094077324401682
409,0.013184517425193415
410,0.01296993908697709
411,0.016778423587189194
412,0.012603894602031809
413,0.008857809276860355
414,0.009921167671160872
415,0.01626346962149898
416,0.03337094610269867
417,0.03349400423243165
418,0.034290188613218295
419,0.03762528924911374
420,0.02851617585413024
421,0.01948386775111691
422,0.017676513965581325
423,0.012555646720858914
424,0.01835956205149254
425,0.019094756136432103
426,0.021410008656645402
427,0.0204342635054122
428,0.030688955653207724
429,0.02578012835223505
430,0.029019390408543625
431,0.02744163159932924
432,0.02733966072367737
433,0.02159306252969608
434,0.02181435973659321
435,0.014337402872656202
436,0.01104969542965298
437,0.010751941400666772
438,0.01602218358673185
439,0.016877376756691764
440,0.017379587294578672
441,0.01905753834148287
442,0.022631639470857032
443,0.027331697832538044
444,0.02891869939667141
445,0.028536066339747215
446,0.02866314646537119
447,0.026091275931789015
448,0.01529934966832787
449,0.0051327238892643675
450,0.004651235370177652
451,0.009747343155445867
452,0.01432000226484213
453,0.016023521829364125
454,0.016501414817609337
455,0.01590967016760591
456,0.01534895586852607
457,0.00996654974640315
458,0.008723873950218362
459,0.009022464100414398
460,0.01244643380320045
461,0.01485642627801147
462,0.014767632915960524
463,0.014880211401781973
464,0.026060322505181633
465,0.021823374834381553
466,0.02583315440928369
467,0.026307512358222415
468,0.026047196358070606
469,0.02885636070864017
470,0.05153787067509257
471,0.06442958178068363
472,0.06452266155231082
473,0.0655496873977674
474,0.06609696772044409
475,0.048634456620996504
476,0.02693646313785585
477,0.03828064351218949
478,0.024275554292653663
479,0.04449168649757403
480,0.04412493631506065
481,0.04537258810407775
482,0.03725086297584118
483,0.03226596809453797
484,0.02606128844521413
485,0.0270833321900621
486,0.023095032490721253
487,0.028077040681520414
488,0.03278726760682851
489,0.030782120642593024
490,0.029862519989133605
491,0.030432128092995225
492,0.021810353276207874
493,0.01325009566934631
494,0.014015725950652645
495,0.013171507882539317
496,0.01807408798637553
497,0.015148920913875177
498,0.014845720788367402
499,0.01596829704321499
500,0.024432321390114264
501,0.024093659153117356
502,0.02256120638540376
503,0.022561038619872246
504,0.022840159116254304
505,0.03071407136048288
506,0.031134320766194136
507,0.03159157078086872
508,0.053969579325211986
509,0.05610490788638738
510,0.05124807833569931
511,0.05137306268075744
512,0.047224926579334074
513,0.033011483190381045
514,0.026138339027629305
515,0.01612480782479374
516,0.013065443010423864
517,0.009752537960831786
518,0.009236052108602929
519,0.006247873247190214
520,0.012280508696752408
521,0.028690685893449634
522,0.027114602272348652
523,0.027672871198103192
524,0.02680341470688476
525,0.028010055217447836
526,0.006126921054557394
527,0.008439229605366774
