,volatility
0,0.06237012827116239
1,0.07218779562040982
2,0.0795266419163495
3,0.0772534687077658
4,0.07611328119474191
5,0.06033873155851968
6,0.05718741176575112
7,0.06464200640738625
8,0.05857016725728818
9,0.05800350881595951
10,0.07179055828012325
11,0.06106554516146474
12,0.060939146441393206
13,0.04437094586565246
14,0.04207151488241278
15,0.055531699994329255
16,0.04463520143476282
17,0.046128425165370725
18,0.0416256581676904
19,0.03809408266906456
20,0.029832855666456326
21,0.0306402316886046
22,0.025341372826079508
23,0.03858190178562364
24,0.04924621471698414
25,0.03878878740712022
26,0.03613173731835326
27,0.028853778968163508
28,0.06592575682329392
29,0.060246516987655166
30,0.05337066226121165
31,0.07293542702131452
32,0.07238953570658481
33,0.0516323188734314
34,0.05262772504685439
35,0.06218284375458539
36,0.04168503915643457
37,0.04312003435598741
38,0.04357269165596333
39,0.030440937109844267
40,0.027418640993195353
41,0.030039835453866518
42,0.02197798495862621
43,0.025077860976355584
44,0.02746591056124128
45,0.02733408034970138
46,0.05002213117948145
47,0.047598914351757934
48,0.05366108774327277
49,0.053690773278012964
50,0.05736902617536179
51,0.03492723418739889
52,0.05321967228616932
53,0.05268718951403148
54,0.05335200019478261
55,0.05512499661275926
56,0.0491396606893839
57,0.03174150342298087
58,0.03191574107875861
59,0.028145065283714653
60,0.06118680365525542
61,0.06302242776319147
62,0.055197718536888665
63,0.05357991527009277
64,0.06333158022250417
65,0.031292376874306235
66,0.03501258919122262
67,0.03488602066900154
68,0.042121226242239185
69,0.0337720394690948
70,0.03133285863572785
71,0.03031694046056023
72,0.03891324379780031
73,0.056100773952157255
74,0.05949075004616645
75,0.06263063004954134
76,0.06575039352338458
77,0.05522269496209672
78,0.03774158027755684
79,0.03319569237133795
80,0.02789371135101476
81,0.029900685508502053
82,0.03040151471667485
83,0.02711655069801774
84,0.02769770064950079
85,0.03320169574195826
86,0.018062014716053204
87,0.021282117999638268
88,0.018684432691261087
89,0.029664290602612914
90,0.033500488626125376
91,0.039165391485917786
92,0.037330281201916664
93,0.036288419600395624
94,0.019187799593437877
95,0.023125131185736288
96,0.022908293693110735
97,0.02301762670828376
98,0.028719902991129816
99,0.028954816014442816
100,0.03371825076887999
101,0.038659464711420115
102,0.040131533051481295
103,0.028530458525108014
104,0.028582184273788766
105,0.0273817870232179
106,0.01668471829998471
107,0.031862703146998114
108,0.031498308148140426
109,0.031015781993887576
110,0.030957826410979036
111,0.02244895038161026
112,0.011049780047717539
113,0.018893971490939417
114,0.019507020230842952
115,0.01950254428235668
116,0.01836849132175128
117,0.018401444719536218
118,0.013427266859163746
119,0.044540322461864075
120,0.0465724646557975
121,0.045436920465640795
122,0.043855984425968726
123,0.06023088560055218
124,0.04423498065197891
125,0.04409529232877672
126,0.03822570264587257
127,0.036291236997238616
128,0.028507315991573155
129,0.01751307340988495
130,0.018961153729254224
131,0.05475552294248605
132,0.05000276088463493
133,0.049384720121246
134,0.05154461188678335
135,0.05153287623884968
136,0.019842703244594195
137,0.02744754262696486
138,0.04103528497469778
139,0.04256464724741699
140,0.03898887615188405
141,0.041364633449069106
142,0.030677872549411903
143,0.023291790175545595
144,0.02215853219054858
145,0.02165317629263492
146,0.01570620520342396
147,0.013252094686463158
148,0.014033455262494375
149,0.030215729438076072
150,0.03030383133478263
151,0.025674914349419507
152,0.02575496290421865
153,0.027442247309761063
154,0.014852219081482236
155,0.029104508966721464
156,0.03787920216211584
157,0.03472615517682374
158,0.0336980543516689
159,0.041038075125151965
160,0.038451704931467254
161,0.011783653928416397
162,0.022140226512812194
163,0.04038004347167373
164,0.04288821951775931
165,0.04927066004992065
166,0.04916744621074491
167,0.047711111566990434
168,0.02626115559704757
169,0.02326172067639017
170,0.03218361737121941
171,0.024106459700709654
172,0.02196100269155882
173,0.02031830388752607
174,0.02336597703950542
175,0.02216914330279408
176,0.022341016831251052
177,0.02243482380976738
178,0.028944950558231677
179,0.039022323247761136
180,0.04247603746184589
181,0.04626085601856953
182,0.04795650181088123
183,0.03744629734981584
184,0.030276308321711156
185,0.012434290512083432
186,0.011309593357799325
187,0.021326699587550225
188,0.026956782931878486
189,0.02595797185817782
190,0.03230735631607923
191,0.036186441375031866
192,0.030381303037135828
