,date,close,volume,trend,fg_index,cluster,log_return,hl_spread,momentum_3,vol_change
69,2024-01-25,39961.09,31022.11853,21,52.0,3,-0.0030929751663039,750.239999999998,393.0699999999997,-8271.710079999997
70,2024-01-26,41823.51,47384.96726,23,49.0,3,0.0455523909262842,2424.300000000003,1925.9100000000035,16362.848729999998
71,2024-01-27,42120.63,16224.41667,17,55.0,3,0.0070790228069771,805.6600000000035,2035.75,-31160.55059
72,2024-01-28,42031.06,27294.99838,16,54.0,3,-0.0021287756389742,1221.8700000000026,2069.970000000001,11070.58171
73,2024-01-29,43302.7,31542.74207,21,55.0,3,0.0298061199427104,1528.1200000000026,1479.189999999995,4247.743689999999
74,2024-01-30,42941.1,37619.24546,22,61.0,3,-0.0083855794598922,1198.3700000000026,820.4700000000012,6076.503389999998
75,2024-01-31,42580.0,39871.13688,20,60.0,3,-0.0084447497973837,1468.270000000004,548.9400000000023,2251.89142
76,2024-02-01,43082.94,35231.04664,18,63.0,3,0.0117424356196099,1400.8499999999983,-219.7599999999948,-4640.090239999998
77,2024-02-02,43200.0,29672.14418,18,63.0,3,0.0027134001651212,941.2099999999992,258.90000000000146,-5558.902460000001
78,2024-02-03,43011.09,12033.40998,16,60.0,3,-0.0043825058320451,500.0100000000021,431.0899999999965,-17638.7342
79,2024-02-04,42582.88,17066.89404,16,60.0,3,-0.0100056948515458,897.0400000000009,-500.06000000000495,5033.484059999999
80,2024-02-05,42708.7,29467.75905,17,60.0,3,0.0029503519870888,1311.6600000000035,-491.3000000000029,12400.86501
81,2024-02-06,43098.95,24675.85433,17,64.0,3,0.0090959883104264,825.9800000000032,87.86000000000058,-4791.904720000002
82,2024-02-07,44349.6,34392.59915,18,62.0,3,0.0286050546851993,1608.5,1766.7200000000012,9716.744820000004
83,2024-02-08,45288.65,45439.62231,23,66.0,3,0.0209527596700549,1283.2000000000044,2579.9500000000044,11047.023159999995
84,2024-02-09,47132.77,73503.481,26,72.0,3,0.0399120635942179,2957.8799999999974,4033.82,28063.85869
85,2024-02-10,47751.09,24802.35936,23,74.0,3,0.0130333810778715,1370.0,3401.489999999998,-48701.12164
86,2024-02-11,48299.99,29958.80837,23,71.0,3,0.011429459727835,1035.5,3011.3399999999965,5156.44901
87,2024-02-12,49917.27,59009.96705,32,70.0,3,0.0329356814465882,2624.8099999999977,2784.5,29051.15868
88,2024-02-13,49699.59,55551.56706,34,79.0,3,-0.0043703514941825,2067.6600000000035,1948.5,-3458.399989999998
89,2024-02-14,51795.17,57046.37401,37,74.0,3,0.0413002181031989,2818.699999999997,3495.1800000000003,1494.8069499999983
90,2024-02-15,51880.0,53816.03055,38,72.0,3,0.0016364577734705,1502.6200000000026,1962.7300000000032,-3230.3434599999964
91,2024-02-16,52124.11,37772.25318,31,72.0,3,0.0046942461844267,1006.0800000000016,2424.520000000004,-16043.777370000003
92,2024-02-17,51642.64,25674.00622,25,76.0,3,-0.0092799178006313,1537.8199999999997,-152.52999999999884,-12098.24696
93,2024-02-18,52137.67,21992.10363,24,72.0,3,0.0095400322946761,1213.7200000000012,257.66999999999825,-3681.902589999998
94,2024-02-19,51774.73,29534.99432,27,75.0,3,-0.0069855277307065,811.7699999999968,-349.3799999999974,7542.89069
95,2024-02-20,52258.82,49614.47318,28,72.0,3,0.0093064880309006,2224.6299999999974,616.1800000000003,20079.47886
96,2024-02-21,51849.39,43079.40049,26,78.0,3,-0.0078655105264593,1741.800000000003,-288.27999999999884,-6535.072690000001
97,2024-02-22,51288.42,35309.44574,25,74.0,3,-0.010878174198953,1125.0,-486.31000000000495,-7769.954749999997
98,2024-02-23,50744.15,30545.79544,23,76.0,3,-0.010668655359765,1027.5400000000009,-1514.6699999999985,-4763.650300000001
99,2024-02-24,51568.22,16560.4211,20,72.0,3,0.0161092509338547,1113.0,-281.16999999999825,-13985.374340000002
100,2024-02-25,51728.85,18721.63159,22,74.0,3,0.0031100616788884,678.75,440.4300000000003,2161.2104900000013
101,2024-02-26,54476.47,51256.72199,31,72.0,3,0.0517532123675628,4008.5599999999977,3732.32,32535.0904
102,2024-02-27,57037.34,67194.98562,51,79.0,7,0.0459372757555132,3138.020000000004,5469.119999999995,15938.263630000009
103,2024-02-28,62432.1,118763.46984,84,82.0,7,0.0903734251045635,7308.1500000000015,10703.25,51568.48422
104,2024-02-29,61130.98,78425.07603,72,80.0,7,-0.0210607908615077,3311.650000000001,6654.510000000002,-40338.39381000001
105,2024-03-01,62387.9,47737.93473,50,80.0,7,0.0203525709953411,2337.230000000003,5350.560000000005,-30687.1413
106,2024-03-02,61987.28,25534.73659,42,80.0,7,-0.0064421436096346,872.0699999999997,-444.8199999999997,-22203.19814
107,2024-03-03,63113.97,28994.90903,39,83.0,3,0.018012936948412,1911.8799999999972,1982.989999999998,3460.1724399999985
108,2024-03-04,68245.71,84835.16005,80,82.0,7,0.0781724352918946,6199.0,5857.810000000005,55840.25102000001
109,2024-03-05,63724.01,132696.7813,100,90.0,7,-0.0685531603092363,9995.0,1736.7300000000032,47861.62125
110,2024-03-06,66074.04,78738.85491,64,75.0,7,0.0362145168030425,4861.960000000006,2960.0699999999924,-53957.92639000001
111,2024-03-07,66823.17,53059.8869,53,82.0,7,0.0112739452488642,2429.0,-1422.540000000008,-25678.96801
112,2024-03-08,68124.19,74261.932842,56,81.0,7,0.0192824863151763,3907.339999999997,4400.18,21202.045942
113,2024-03-09,68313.27,19872.89743,44,84.0,7,0.0027716745979517,680.0,2239.2300000000105,-54389.035412
114,2024-03-10,68955.88,38404.66835,45,79.0,7,0.0093628421886472,1792.8600000000006,2132.7100000000064,18531.77092
115,2024-03-11,72078.1,75292.825726,73,82.0,7,0.0442833735611532,5775.039999999994,3953.910000000004,36888.157376
116,2024-03-12,71452.01,68783.546691,64,81.0,7,-0.0087242178114949,4379.179999999993,3138.7399999999907,-6509.279035
117,2024-03-13,73072.41,52659.711647,61,81.0,7,0.0224248317904923,2316.9400000000023,4116.529999999999,-16123.835044
118,2024-03-14,71388.94,71757.628746,53,88.0,7,-0.023307911945009,5222.0,-689.1600000000035,19097.91709900001
119,2024-03-15,69499.85,103334.03546,55,83.0,7,-0.0268183610911704,6819.710000000006,-1952.159999999989,31576.406714
120,2024-03-16,65300.63,55926.95336,40,81.0,3,-0.0623229102797109,5263.0,-7771.780000000006,-47407.0821
121,2024-03-17,68393.48,49742.21589,39,79.0,3,0.0462758144323566,4371.399999999994,-2995.4600000000064,-6184.73747
122,2024-03-18,67609.99,55691.08088,43,77.0,7,-0.0115217452522204,2390.800000000003,-1889.8600000000008,5948.864990000002
123,2024-03-19,61937.4,101005.32487,49,79.0,7,-0.0876315556373349,6569.110000000001,-3363.229999999996,45314.24399
124,2024-03-20,67840.51,90420.58592,50,74.0,7,0.0910353115859427,7325.0,-552.9700000000012,-10584.73895
125,2024-03-21,65501.27,53357.48002,39,78.0,3,-0.0350899773778561,3711.459999999999,-2108.7200000000084,-37063.1059
126,2024-03-22,63796.64,51482.37821,36,75.0,3,-0.0263690073790988,4389.619999999995,1859.239999999998,-1875.10181
127,2024-03-23,63990.01,26410.11409,29,73.0,3,0.0030264530386604,2999.0,-3850.4999999999927,-25072.264120000003
128,2024-03-24,67209.99,31395.78015,30,74.0,3,0.0490949197687059,3856.4000000000015,1708.7200000000084,4985.66606
129,2024-03-25,69880.01,53431.14486,41,75.0,3,0.0389577311738261,4764.940000000002,6083.369999999995,22035.36471
130,2024-03-26,69988.0,38934.38417,39,81.0,3,0.0015441704140665,2281.100000000006,5997.989999999998,-14496.760690000005
131,2024-03-27,69469.99,49119.35685,37,83.0,3,-0.0074289380246216,3410.3600000000006,2260.0,10184.97268
132,2024-03-28,70780.6,35439.03239,38,80.0,3,0.018690091094532,2648.4400000000023,900.5900000000111,-13680.324459999996
133,2024-03-29,69850.54,25445.08353,34,79.0,3,-0.0132271353273706,1907.1600000000035,-137.4600000000064,-9993.94886
134,2024-03-30,69582.18,13644.61142,29,75.0,3,-0.0038493164497219,781.1000000000058,112.18999999998778,-11800.47211
135,2024-03-31,71280.01,19396.34433,30,75.0,3,0.0241074233791595,1803.0099999999948,499.40999999998894,5751.732910000001
136,2024-04-01,69649.8,41445.32039,37,79.0,3,-0.0231360947330178,3225.369999999996,-200.7399999999907,22048.97606
137,2024-04-02,65463.99,71799.82793,39,79.0,3,-0.0619796082519771,5124.229999999996,-4118.189999999995,30354.50754
138,2024-04-03,65963.28,39887.21778,34,71.0,3,0.0075980030930285,2410.560000000005,-5316.729999999996,-31912.61015
139,2024-04-04,68487.79,41510.48453,32,70.0,3,0.0375572576425187,4245.390000000007,-1162.0100000000093,1623.2667500000025
140,2024-04-05,67820.62,37915.23073,30,79.0,3,-0.0097892027031338,2804.1100000000006,2356.6299999999974,-3595.2537999999986
141,2024-04-06,68896.0,20134.28919,23,75.0,3,0.0157318426801832,2244.1699999999983,2932.720000000001,-17780.941540000003
142,2024-04-07,69360.39,21534.74433,28,78.0,3,0.006717834111896,1502.2899999999936,872.6000000000058,1400.4551400000018
143,2024-04-08,71620.0,45723.87624,35,76.0,3,0.0320584092764381,3754.75,3799.3800000000047,24189.13191
144,2024-04-09,69146.0,39293.90242,34,80.0,3,-0.0351541533965402,3548.1900000000023,250.0,-6429.973819999999
145,2024-04-10,70631.08,42006.02377,33,78.0,3,0.0212500630830319,3654.0800000000017,1270.6900000000023,2712.1213500000013
146,2024-04-11,70006.23,31917.25595,32,76.0,3,-0.0088860361676844,1738.679999999993,-1613.770000000004,-10088.76782
147,2024-04-12,67116.52,56072.86229,33,79.0,3,-0.0421540247116934,6140.600000000006,-2029.479999999996,24155.60634
148,2024-04-13,63924.51,71395.22019,39,72.0,3,-0.0487273574622227,7268.43,-6706.57,15322.357899999995
149,2024-04-14,65661.84,61599.17818,44,72.0,7,0.026815078915186,3706.0,-4344.389999999999,-9796.04200999999
150,2024-04-15,63419.99,52389.53069,42,74.0,7,-0.0347388233991405,4592.6700000000055,-3696.530000000006,-9209.647490000005
151,2024-04-16,63793.39,53435.29331,37,65.0,3,0.0058704685364765,2765.0,-131.12000000000262,1045.762620000001
