,volatility30
0,0.024378841184936956
1,0.024826255353692556
2,0.02475911749760522
3,0.02528799078823893
4,0.02332488881292821
5,0.022153749119316897
6,0.022200492335396223
7,0.0225166126168689
8,0.022571884828834463
9,0.02308505908568023
10,0.02321683011725684
11,0.023578357678973712
12,0.02374707251360199
13,0.02371335921808552
14,0.02336643890904592
15,0.024359514520010606
16,0.024424873770292507
17,0.02464315029593438
18,0.02362335441920328
19,0.02358505882407619
20,0.023499818622509234
21,0.023194478349637337
22,0.026096840241732797
23,0.026363047494014066
24,0.0237209511508131
25,0.023800872420727807
26,0.027634191474472596
27,0.02762743914518253
28,0.027656752938650112
29,0.027829097715735784
30,0.027636802458405992
31,0.027130561658538152
32,0.027814106047468926
33,0.02715930663653801
34,0.02714019242360731
35,0.027129534133724542
36,0.028492493613996184
37,0.02845813875496214
38,0.028332424434052397
39,0.028026430892814327
40,0.029051462339293725
41,0.028866244214331444
42,0.028788679385580357
43,0.02929962239266343
44,0.0293440390069025
45,0.02821166713228244
46,0.02810567271443138
47,0.026703737850394104
48,0.026114369632711746
49,0.026166893935844957
50,0.02617197444544609
51,0.02623643462421618
52,0.023677407651010045
53,0.023829713164191822
54,0.024865505457096457
55,0.024932996457686152
56,0.019758650782877567
57,0.020441053417747376
58,0.019652238492856314
59,0.020578636205690965
60,0.02054005015919186
61,0.020357904202419817
62,0.0190871943513243
63,0.01909086756461435
64,0.019238153769813048
65,0.019147953917228455
66,0.016124132327727952
67,0.016528391740136202
68,0.016880426441924536
69,0.016814720976138602
70,0.01530768942729471
71,0.017344518586037957
72,0.018503079824792115
73,0.02338028245352573
74,0.02387433692708765
75,0.023610886545174327
76,0.023869200474459954
77,0.02382454335906758
78,0.02641757221576868
79,0.030243744712603566
80,0.030455056021440212
81,0.030444210850028252
82,0.030343935919460035
83,0.030388167396841626
84,0.02998879554905995
85,0.030539064434469812
86,0.030811750941593406
87,0.030637134768665572
88,0.03119112996485579
89,0.03146818251567246
90,0.03409721276638894
91,0.03480982075666173
92,0.03485291790301364
93,0.03906044744448474
94,0.04195181198542286
95,0.04271702138578247
96,0.043079010644054345
97,0.04295563011213121
98,0.0434726520837145
99,0.04379379614988001
100,0.04380338254406877
101,0.043190095576967596
102,0.042650188508403096
103,0.039780848713296256
104,0.039534147623422694
105,0.03959256829118659
106,0.03986717274389726
107,0.041530051518649934
108,0.03893867396615123
109,0.03739201462841461
110,0.0368976304495442
111,0.036949915581314795
112,0.03680668641818623
113,0.03725197969225455
114,0.03781350403065526
115,0.03711262587231344
116,0.03711384767420123
117,0.03759712031389927
118,0.03835327618428373
119,0.038487375730187824
120,0.03730526753648674
121,0.036255169294419
122,0.036880195308896725
123,0.03388804381715632
124,0.02932659342254784
125,0.028849344222891586
126,0.02842585965376398
127,0.02887828407831419
128,0.02746099221384651
129,0.027025698008741002
130,0.027036837796741212
131,0.027069900321430605
132,0.026763307426589937
133,0.026704758469103414
134,0.02684715880557707
135,0.027750623699350427
136,0.02823810391435045
137,0.026334426222739855
