date,close,volume,trend,fg_index,cluster,log_return,hl_spread,momentum_3,vol_change,rolling_std_5,volatility21
2018-02-06,7652.14,100201.500307,78,8.0,5,0.0976850136855151,1877.9899999999998,-1547.8199999999988,36798.317727999995,0.10754574517172134,0.05918373723325254
2018-02-07,7599.0,60778.460497,49,36.0,0,-0.006968687593351903,1325.9899999999998,-585.8100000000004,-39423.039809999995,0.1083784038736004,0.0595944289478149
2018-02-08,7784.02,1521.537318,41,30.0,0,0.024056254565828366,271.90999999999985,844.0300000000007,-59256.923179,0.10662055097740111,0.060247051128737114
2018-02-09,8683.92,20482.910825,35,44.0,0,0.10940012537559372,948.1000000000004,1031.7799999999997,18961.373507,0.1102900058099768,0.05632863142237857
2018-02-10,8533.98,49381.512653,28,54.0,0,-0.017417198432916687,945.7800000000007,934.9799999999996,28898.601828,0.05893175319395763,0.056203910445573525
2018-02-11,8063.88,45025.187952,25,31.0,4,-0.05666101093024384,822.4700000000003,279.8599999999997,-4356.324700999998,0.06237012827116239,0.053894498028222035
2018-02-12,8903.0,41987.85049,28,42.0,0,0.09899346832562467,936.0,219.07999999999993,-3037.337462000003,0.07218779562040982,0.05066643209156079
2018-02-13,8539.9,35454.972956,25,35.0,4,-0.04163900046148712,599.0,5.920000000000073,-6532.877533999999,0.0795266419163495,0.05225227739785409
2018-02-14,9449.99,40811.952867,25,55.0,6,0.1012643851739862,956.6000000000004,1386.1099999999997,5356.979911000002,0.0772534687077658,0.051390508078344804
2018-02-15,10000.09,52427.596715,27,71.0,6,0.056580409649512595,918.0,1097.0900000000001,11615.643848,0.07611328119474191,0.05190710823698669
2018-02-16,10159.98,38161.205974,25,67.0,6,0.015862380690915286,657.3700000000008,1620.08,-14266.390741000003,0.06033873155851968,0.05171519537929836
2018-02-17,11039.55,41882.108407,22,74.0,6,0.08302780550417584,1025.0699999999997,1589.5599999999995,3720.902433000003,0.05718741176575112,0.04852499226679249
2018-02-18,10383.43,61137.380728,25,63.0,6,-0.061273012835288285,1194.0,383.34000000000015,19255.272320999997,0.06464200640738625,0.05122438265404443
2018-02-19,11153.0,40831.417131,22,67.0,6,0.07149725369905101,979.6700000000001,993.0200000000004,-20305.963596999994,0.05857016725728818,0.04881988732579871
2018-02-20,11200.99,48153.354288,27,74.0,6,0.00429364723937341,685.4200000000001,161.4400000000005,7321.937157,0.05800350881595951,0.048790480547076444
2018-02-21,10437.6,68113.818754,26,54.0,6,-0.07058749628237194,1104.0300000000007,54.17000000000007,19960.464466000005,0.07179055828012325,0.05222636735916314
2018-02-22,9811.04,67060.166483,23,44.0,4,-0.0619063887400933,1254.4400000000005,-1341.9599999999991,-1053.6522710000136,0.06106554516146474,0.051089723348171835
2018-02-23,10131.04,57202.70237,21,39.0,4,0.03209569611200183,864.8099999999995,-1069.949999999999,-9857.464112999995,0.060939146441393206,0.05031965038356084
2018-02-24,9694.51,40888.156299,18,31.0,4,-0.0440442324402057,1144.9699999999993,-743.0900000000001,-16314.546070999997,0.04437094586565246,0.05071006958194068
2018-02-25,9590.0,28373.517586,18,33.0,4,-0.010838857005757338,572.2000000000007,-221.04000000000087,-12514.638713,0.04207151488241278,0.052150572096274064
2018-02-26,10324.0,34878.292756,19,37.0,4,0.07375039296102064,1094.3199999999997,192.95999999999913,6504.775170000001,0.055531699994329255,0.05046633972221252
2018-02-27,10569.04,30705.385123,19,44.0,4,0.0234576908169124,749.0,874.5300000000007,-4172.9076330000025,0.04463520143476282,0.05091256894393517
