,target
0,-0.7546056694965884
1,-0.6592004486297667
2,-0.6740688091903136
3,-0.6766487700570855
4,-0.6787894440099882
5,-0.6708076215254944
6,-0.6665072657177967
7,-0.6600585966586253
8,-0.660483768000126
9,-0.7070355107447769
10,-0.6853709204059407
11,-0.6693990950266884
12,-0.6648282075550426
13,-0.5743742416593713
14,-0.5477712726062653
15,-0.7138160207120176
16,-0.8845508697336448
17,-0.8754879537828874
18,-0.8564938065721297
19,-0.8664199658743591
20,-0.5860948216457824
21,-0.7597117269042625
22,-0.8162919763129
23,-0.822136726318746
24,-0.7571997527074821
25,-0.7574549641120789
26,-0.7235320112030393
27,-0.6914573104370811
28,-0.6830957045481267
29,-0.6412548894470412
30,-0.6475993467948297
31,-0.6677429269237279
32,-0.6719376697697784
33,-0.6505285453572087
34,-0.783670075811696
35,-0.9047928228620477
36,-0.8709369431015215
37,-0.8518845938065607
38,-0.8792754092388426
39,-0.8833004813274014
40,-0.882277960124959
41,-1.0185472513153
42,-1.0041166673235589
43,-0.8884973884806188
44,-0.8277442475419148
45,-0.8801964220338366
46,-0.8799374875989584
47,-0.9210811330895611
48,-0.6995157210929028
49,-0.6788551618669283
50,-0.727772207861302
51,-0.7218656847604722
52,-0.34567569448242796
53,-0.34660457411033113
54,-0.3254946674491507
55,-0.3165519249487032
56,-0.33641408880079
57,-0.3568154142069336
58,-0.3174907342106111
59,-0.3194166957092126
60,-0.319575995370633
61,-0.3201905678615707
62,-0.32167194765520324
63,-0.33862805681353997
64,-0.4355705613960472
65,-0.5002069100435934
66,-0.36768613082458157
67,-0.3631629823454162
68,-0.3632365833001342
69,-0.5736896496258952
70,-0.5847848937107426
71,-0.5981299579353039
72,-0.5839241727159876
73,-0.999096158302806
74,-0.9974745807965364
75,-1.0465406769249423
76,-1.072414075696386
77,-1.0833030967085029
78,-1.0271691762910944
79,-1.1172338239002817
80,-1.0177710456477649
81,-1.0162392508590405
82,-1.0218299633788344
83,-1.2764536492912366
84,-1.2545648308941741
85,-1.1745730225866287
86,-1.1857860644233578
87,-1.2927945928277371
88,-1.2565146670361609
89,-1.2708754539717007
90,-1.2856883884715185
91,-1.3161342133251899
92,-1.3182294870929303
93,-1.2796587773415367
94,-1.2482708176365132
95,-1.257373765972594
96,-1.289556213814839
97,-1.1351013434381292
98,-1.041807924468798
99,-0.6532532262805991
100,-0.5749018983107275
101,-0.6132507316959178
102,-0.5906943041795709
103,-0.5890057813875733
104,-0.3758475635212232
105,-0.060134605318936954
106,-0.07280051437921527
107,-0.07758399930759867
108,-0.07814053279129338
109,-0.09638794074205934
110,-0.09632400509666844
111,-0.0767202910060856
112,-0.05177930159210685
113,-0.0750066944312675
114,-0.03724791188412396
115,0.012294061687701953
116,0.25271595784894557
117,0.2956271185381713
118,0.25348402876839915
119,0.5388579328959388
120,0.5430256870111239
121,0.5750957475245765
122,0.5924144292000285
123,0.5903909005343166
124,0.6589896909333954
125,0.5003241995354694
126,0.30633970218610296
127,0.2682292413473156
128,0.27560585923168474
129,0.2728431949119181
130,0.27367685459378366
131,0.29191419726787204
132,0.23448078652079132
133,0.3712711663252981
134,0.3488373867704799
135,0.3983271180177342
136,0.3764755878432759
137,0.2282397995761317
138,0.1467406346795917
139,0.17794392523701802
140,-0.12561432824348492
141,-0.5052980200857717
142,-0.5803292240782693
143,-0.5119332971599718
144,-0.3744383102376859
145,-0.46825188375465
146,-0.5097827793019086
147,-0.5057103512653154
148,-0.43707824665796147
149,-0.37898839203023776
150,-0.37725867500584237
151,-0.3533345967545981
152,-0.394232701843863
153,-0.3617184491843811
154,-0.5705548530203124
155,-0.5135253148261593
156,-0.604224894035788
157,-0.6027708681956846
158,-0.624949410759406
159,-0.6321677154885069
160,-0.7005828789806253
161,-0.6250110847989602
162,-0.6169253862196715
163,-0.5916807190313595
164,-0.40232024205954364
165,-0.5090488939438979
166,-0.5523121313447447
167,-0.6119526649791419
168,-0.6043838998631118
169,-0.6826060652352046
170,-0.7030788383290161
171,-0.6273456981165092
172,-0.651792470748473
173,-0.6408077996925893
174,-0.6589913168417065
175,-0.6378913008269353
176,-0.38401515287568455
177,-0.3710438811225091
178,-0.34508055487529427
179,-0.34700140838909643
180,-0.34260831203699965
181,-0.09456685738308701
182,-0.22422475776996995
183,-0.3088145373880404
184,-0.27823004466599915
185,-0.4519279763203684
186,-0.45732630366791976
187,-0.44514084502034634
188,-0.4564233342834781
189,-0.4533607251264282
190,-0.468655242855115
191,-0.5047946357402269
192,-0.5880804714291342
193,-0.589196954138482
194,-0.5898195104446678
195,-0.6043843327319363
196,-0.6265417587488623
197,-0.9330185241069074
198,-0.9537650548783029
199,-0.9571190844510753
200,-0.95753217204861
201,-0.9672738824522569
202,-1.4967731888349025
203,-1.415832099644634
204,-1.4078070211147835
205,-1.3880412888735574
206,-1.3883513592970258
207,-1.4039157091518444
208,-1.4063123223357463
209,-1.432545039242548
210,-1.414276406394217
211,-1.423169306549264
212,-1.4413285556159228
213,-1.4428176679757818
214,-1.4446308315839398
215,-1.424057356166812
216,-1.2750308491986964
217,-1.275166684851651
218,-1.2901273776703552
219,-1.2485494829969117
220,-1.247615595705522
221,-1.2276155568819838
222,-1.130143720001573
223,-1.1269557444837262
224,-1.1925072974678488
225,-1.16076026524694
226,-0.9949711771624714
227,-0.995967785960635
228,-0.9119427684671568
229,-0.8415159335859097
230,-0.806158442499797
231,-0.7587368033821936
232,-0.7591468933601908
233,-0.7602288396602457
234,-0.7477935367597771
235,-0.703423967827637
236,-0.660299999299089
237,-0.5680743814903223
238,-0.5963891223447312
239,-0.5975187716374952
240,-0.604884414909722
241,-0.5548652313087233
242,-0.5557162341335178
243,-0.5845422826637521
244,-0.5746445600319948
245,-0.5454698571136984
246,-0.6094309632808312
247,-0.8372933103848007
248,-0.8138434832348623
249,-0.8367132941877886
250,-1.0224484598535426
251,-0.9540528147447176
252,-0.9547079664081344
253,-0.8989310790293834
254,-0.9082802868782567
255,-0.6247840420111185
256,-0.6363401335730589
257,-0.5726749307920913
258,-0.567960559575048
259,-0.4646541599722165
260,-0.46357634523123625
261,0.18459079773722117
262,0.10817553093732135
263,0.10384181842394599
264,0.12621907780837882
265,0.13868134027926043
266,0.15173596996625432
267,0.18228226741515977
268,0.1840852365485058
269,0.15979395130528967
270,0.17013405541297602
271,0.16933377740345942
272,0.1829148249254202
273,0.18253082269519622
274,0.2311704262764434
275,0.2265415747678791
276,0.2261184351763996
277,0.21646138103962548
278,0.1271858859038752
279,-0.12323706673533863
280,0.002055959782221814
281,-0.010127220928000854
282,-0.6595265321395919
283,-0.6685662285925297
284,-0.669005734971528
285,-0.7017952474820708
286,-0.645069138218667
287,-0.6304739052483347
288,-0.681895303395223
289,-0.6456982223903978
290,-0.5991405571643821
291,-0.608433839363226
292,-0.6039002210703335
293,-0.5258964372519169
294,-0.5195500322119124
295,-0.6030482799389184
296,-0.5937684167653869
297,-0.715886618592414
298,-0.7154821437769207
299,-0.7091608117596179
300,-0.7210827991442479
301,-0.8289570937104127
302,-0.799089174983864
303,-0.7810695386248402
304,-0.7842584430438373
305,-0.7864946690494715
306,-0.8616791853967269
307,-0.9112033777132901
308,-0.9830932705024079
309,-0.9466886418277914
310,-0.9999925904478961
311,-1.1997395184783888
312,-1.1967940538867061
313,-1.1833070912138628
314,-1.1180027121574578
315,-0.9619421307349585
316,-0.9645272464604767
317,-0.9744149743395626
318,-1.0586222616214647
319,-1.066253301788783
320,-1.0812043639023778
321,-1.0972814810204163
322,-1.193111969923764
323,-1.1855549446833067
324,-1.2233329791222263
325,-1.101337854180831
326,-1.0918666368944416
327,-1.0910578181448805
328,-0.9036490776128154
329,-0.9028916447322503
330,-0.9304777317628673
331,-0.99280160626133
332,-0.9837280147442908
333,-0.9832358807490414
334,-0.9817710892613372
335,-1.038403130744077
336,-1.2095927515099651
337,-1.190803685384097
338,-1.1634659212478116
339,-1.1268545930332108
340,-1.1277818037026077
341,-1.1253026524288403
342,-1.095540143037022
343,-1.0144655428812501
344,-1.0876405821523207
345,-0.9926249024700413
346,-1.0391483659559027
347,-1.0385429093472676
348,-1.032433181424463
349,-1.2003819211102598
350,-1.177485694656194
351,-0.6768595799223237
352,-0.6811297871655198
353,-0.6860626326944892
354,-0.6877894517663421
355,-0.586407668487497
356,-0.23148218655735672
357,-0.21747760520121384
358,-0.23896621484854264
359,-0.1338809481132273
360,-0.15596456353850235
361,-0.14145675465300428
362,-0.1187762193575965
363,-0.12825088311435678
364,-0.15988003823079455
365,-0.17035410268275458
366,-0.22393368699793464
367,-0.25686657331208923
368,-0.23168642334475484
369,-0.2533481800048341
370,-0.07796209009660922
371,-0.05091634053791105
372,-0.26765584021179967
373,-0.26126603712036434
374,-0.258785113756933
375,-0.23847304296825989
376,-0.3078927964950736
377,-0.7734905776789289
378,-0.7818539314690779
379,-0.7787365170713416
380,-0.8514980777082025
381,-0.9089040379613119
382,-0.9144540249604418
383,-0.9231264729072491
384,-0.7913022402423939
385,-0.8053067694497229
386,-0.7047171158326908
387,-0.7978007021582013
388,-0.787744222041916
389,-0.80072638250345
390,-0.7512999956576242
391,-0.9652013615985068
392,-0.9871104409175436
393,-0.8074164915953489
394,-0.7508172951538991
395,-0.7724484172624707
396,-0.7787221124797664
397,-0.752196500422809
398,-0.7633500308146374
399,-0.6669022138045784
400,-0.7112065891390319
401,-0.6415511606329749
402,-0.6856516026903344
403,-0.6756721900648065
404,-0.6793815892094934
405,-0.7586515825808874
406,-0.7534020638979494
407,-0.902817148441496
408,-0.8547979703906984
409,-0.8587627015110165
410,-0.8586349194001973
411,-0.9310674519214859
412,-0.8323757612068864
413,-0.6681085739279632
414,-0.8443905579509756
415,-0.8479023513431065
416,-0.8058978736620926
417,-0.8069039518810677
418,-0.8375756475496241
419,-0.8381866472968265
420,-0.9172605055738711
421,-0.8068067159850049
422,-0.9093113960855718
423,-0.838717599847556
424,-0.8412414053663604
425,-0.7842492996322074
426,-0.7964713118367349
427,-0.7290909119946868
428,-0.679276647230425
429,-0.7075728314637209
430,-0.7104531956298225
431,-0.7097178157973395
432,-0.6759229829592465
433,-0.7652432371632496
434,-0.9686978971328924
435,-0.9773379340496786
436,-1.0559384276906258
437,-1.02459288670452
438,-0.9914700289848913
439,-0.9151363131799948
440,-0.8326019303979754
441,-0.7607334770536864
442,-0.8655270696322531
443,-0.8662142889655393
444,-1.0023930114033264
445,-1.0070880038982657
446,-1.070683276437495
447,-1.0689803393907302
448,-1.1989693992417239
449,-1.174272196771172
450,-1.1678255972637495
451,-1.1678336711895985
452,-1.1667507751688517
453,-1.1812346977236639
454,-1.1816457725201028
455,-1.1831767941617521
456,-1.2321177892866642
457,-1.2087393421685901
458,-1.209836741725821
459,-1.227768924939827
460,-1.305997354430762
461,-1.2366245292301752
462,-1.2587923460025718
463,-1.0749739367786306
464,-1.0661857735717495
465,-1.0686391729500602
466,-1.0159038786961083
467,-0.43764480457368504
468,-0.07651930802614879
469,-0.06924107932346345
470,-0.020981962215678364
471,-0.024307263333511957
472,0.010300207042716105
473,0.008506963104130159
474,0.15456996272975843
475,0.16691097466264454
476,0.3197114039375989
477,0.3182346560164561
478,0.3145860757705753
479,0.3774001812958574
480,0.3777157974649758
481,0.38497230221022954
482,0.3288615830077013
483,0.3031176969369308
484,0.30056920298430856
485,0.3380516222663167
486,0.3374919529370523
487,0.32070605838703653
488,-0.01313840345467909
489,-0.3698443058448641
490,-0.37720000688543737
491,-0.4561603493800171
492,-0.4563624924817528
493,-0.4662510575067132
494,-0.4462982607731719
495,-0.6985003132874608
496,-0.7512850717250797
497,-0.8777256997649457
498,-0.81188630307751
499,-0.8764876224070189
500,-0.9585388525238366
501,-0.9588753573655269
502,-0.7199548153155121
503,-0.7363911698834184
504,-0.6750914081012853
505,-0.4346945830674454
506,-0.4126614103979806
507,-0.2894402736929867
508,-0.2659103801581801
509,-0.28601680103231064
510,-0.29558788664628144
511,-0.29106953091515914
512,-0.2896411787586683
513,-0.2832791887025517
514,-0.3351621268608758
515,-0.3583682256718077
516,-0.3594909426144058
517,-0.32699953985762936
518,-0.17272223702779246
519,-0.23867712153108145
520,-0.2385843709102395
521,-0.23878240918918983
522,-0.24204634628547492
523,-0.4899801013275991
524,-0.48871562859034345
