,target
0,1.4183968211009734
1,1.4172769669741296
2,1.4757890559307283
3,1.3738312438728997
4,1.4099396881561168
5,1.3330491069421808
6,1.4042868466441674
7,1.3732197866746414
8,1.1342706954117896
9,1.0958871063189897
10,1.1482210515120406
11,1.031894454683548
12,1.0035647030462347
13,0.8575769597117519
14,0.8565722166566218
15,0.7728578941508724
16,0.7219885556208712
17,0.6862763961492024
18,0.6795191849066732
19,0.7128355894170173
20,0.5571112224646496
21,0.8040769675751648
22,0.8142488235631574
23,0.7067429543294473
24,0.6886172794435292
25,0.6810413037558953
26,0.7751184557417186
27,0.8931471615865194
28,0.8350291926651862
29,0.7354354362680277
30,0.7367278234261334
31,0.7548401461143605
32,0.7262406089923727
33,0.5047847450643715
34,0.4933236821550248
35,0.9744305259617003
36,0.6716678224931132
37,0.6762165324033158
38,0.7257270827570812
39,0.681648177943228
40,0.6400659029181862
41,0.6099580497413507
42,0.5783031562681851
43,0.7031640970822609
44,0.6951103360694804
45,0.6905911834749232
46,0.6539270712033123
47,0.7803611106871089
48,0.9100769869663123
49,0.8943337547785614
50,0.9346844984879377
51,0.6071392167410553
52,0.5509241172897207
53,0.5730298010594882
54,0.5772836540395286
55,0.5620903787273404
56,0.5723145961132747
57,0.31757506790270773
58,0.31038928467352384
59,0.30127468890110215
60,0.32350777954608406
61,0.3456636201236337
62,0.28967584640220334
63,0.3449755450299742
64,0.5100902153531993
65,0.03670608203706251
66,0.05034017900174038
67,0.0461514315579454
68,0.009168079112413659
69,-0.02485412860741733
70,0.0001338080645665017
71,-0.022413951000633234
72,-0.02776735807344856
73,-0.14316472118938045
74,-0.13707588836718432
75,-0.06691680822486108
76,0.02564218571288508
77,-0.18718577839086928
78,-0.388852466790607
79,-0.48601785808165826
80,-0.5239895551216918
81,-0.6258684595784701
82,-0.4939360753473481
83,-0.4981648538283442
84,-0.4850417507377917
85,-0.5070623992371643
86,-0.6386911930484969
87,-0.6259787954480582
88,-0.6305030699843194
89,-0.6061055580476248
90,-0.6243002641913121
91,-0.6266324468433185
92,-0.642234858851994
93,-0.6718186029441164
94,-0.45351496898377264
95,-0.44168933006328753
96,-0.4126819377533986
97,-0.38702283593584613
98,-0.24794527950911724
99,-0.2184155623409742
100,-0.22645463263358184
101,-0.2635850778654665
102,-0.184118879382156
103,-0.24365350862129495
104,-0.24309501458302316
105,-0.3112269456903924
106,-0.06871316094758802
107,-0.058290539142813784
108,-0.060293499827800405
109,-0.04403899031663159
110,-0.02688328476703066
111,-0.0439389680339869
112,-0.0963086806676034
113,0.03942173507742878
114,0.06817696849090171
115,0.06481781394755974
116,0.11546341268285083
117,0.11177836937199837
118,0.10031857254264738
119,0.08407177943341149
120,0.09074896544420612
121,0.11075489824117442
122,0.1092944111010816
123,0.10600761229786192
124,-0.12327756121961145
125,-0.12661111147454363
126,-0.19956341798988386
127,-0.24558060298198128
128,-0.3534919458811825
129,-0.3945257961915422
130,-0.28275022714786313
131,-0.04871813179826117
132,-0.0923170613215053
133,-0.09012894629899491
134,-0.07590969905519288
135,-0.07787467172809703
136,-0.5340752595126296
137,-0.48497901905898033
138,-0.27298645340107025
139,-0.2274465587865485
140,-0.2207454287936653
141,-0.19997022199847583
142,-0.3182187944945919
143,-0.39613911458202605
144,-0.4076582963408651
145,-0.26303984934950214
146,-0.28839324975195296
147,-0.2949852998079973
148,-0.2837214177008662
149,-0.15982342421504997
150,-0.16338206808079087
151,-0.1711389562301979
152,-0.13726804779148424
153,0.008216015069608831
154,-0.04645747118043129
155,0.06954791734463558
156,0.06449344040613333
157,0.06790217314996567
158,0.0701095819786273
159,0.06394966958240907
160,-0.0405377139022603
161,-0.31196694675265063
162,-0.23805795212194342
163,-0.22309586772146534
164,-0.21645637818054467
165,-0.19028514717055012
166,-0.13376563826670748
167,-0.21099753534229537
168,-0.48786180002456847
169,-0.4631786660820488
170,-0.4821115964845905
171,-0.545919222823643
172,-0.49440569899932074
173,-0.46016635751813806
174,-0.46009914378765937
175,-0.5690786902615355
176,-0.5747522458652634
177,-0.5431172860426663
178,-0.5410337499110957
179,-0.6800296291533477
180,-0.673860671853533
181,-0.3200457094596978
182,-0.32781661185869126
183,-0.48861112084994607
184,-0.5060727548258875
185,-0.6552527114211739
186,-0.6598696775643407
187,-0.6658248511213454
188,-0.6683420465589905
189,-0.6513764371064932
190,-0.656681744764016
191,-0.6572515447250706
192,-0.736685046783102
193,-0.705275799473857
194,-0.705245801991911
195,-0.7580511332389811
196,-0.805055024776665
197,-0.7504040548368103
198,-0.7750931733375455
199,-0.8001739396191626
200,-0.7865510529964103
201,-0.7693021424964467
202,-0.8183895363401116
203,-0.7883201431023874
204,-0.7873897627504209
205,-0.7877321843556003
206,-0.7872729673975593
207,-0.8274550499242038
208,-0.8374831752708761
209,-0.837537818432177
210,-0.8381021608808796
211,-1.3115696774957286
212,-1.3622399040972575
213,-1.388570389395867
214,-1.477872693176271
215,-1.4814047510134178
216,-1.483678343866075
217,-1.2370351785001574
218,-1.2367538238968478
219,-1.2705541767153279
220,-1.2704027278368715
221,-1.0359579678952748
222,-1.0363770532958487
223,-1.1362742836579165
224,-1.1206038685024766
225,-1.1112719679057925
226,-1.1200838219717009
227,-1.2191386916691245
228,-1.220420934711674
229,-1.219805289385612
230,-1.2414121698759573
231,-1.2667923933706606
232,-1.2670480087919875
233,-1.3444788189646804
234,-1.3480516813659675
235,-1.3175294784501141
236,-1.3199090014107757
237,-1.315804311898804
238,-1.322604384233015
239,-1.3216436370579872
240,-1.331125952098742
241,-1.3167315435238665
242,-1.3185733716475423
243,-1.314885566611954
244,-1.3144173089632405
245,-1.3006852946125331
246,-1.2966539146673233
247,-1.5507464744019437
248,-1.553856791692301
249,-1.5557915997729264
250,-1.5558036509465092
251,-1.3345828605220942
252,-1.297751763482464
253,-1.2895704805735335
254,-1.3001217898615838
255,-1.296948959510916
256,-0.40906598393457816
257,-0.2628623311841808
258,-0.22471755279044264
259,-0.13162547214738576
260,-0.11821338712704432
261,0.2148031406051807
262,0.2942415185569025
263,0.3366821167820342
264,0.3426417029526962
265,0.6793079189216154
266,0.6869345477489477
267,0.7330723586905868
268,0.7877896328002133
269,0.7809295248774776
270,0.8502565373010829
271,0.8533701812245714
272,0.87001227539386
273,0.9192815193699888
274,0.8988992779484734
275,0.9116762604061986
276,0.9928450377245914
277,0.9842834351653883
278,0.9715557989308661
279,0.9986725211799053
280,0.9970269831978763
281,0.8949579186932036
282,0.899165373808296
283,0.9134562436699543
284,1.147022206118526
285,1.2060871350364475
286,0.8101071120162514
287,0.9808960643925336
288,1.0183588875943337
289,0.9603645243679569
290,0.9548898538214079
291,0.6318450001765205
292,0.7068780311011198
293,0.6322646763895633
294,0.7116108880466604
295,0.6083139595226142
296,0.6353369082178528
297,0.5743612245745465
298,0.5475178227031535
299,0.5694948739988951
300,0.45399353921932506
301,0.4597598926382392
302,0.4006353175675705
303,0.2459963211740571
304,0.2915851259966106
305,0.2933217986962305
306,0.2611041534045995
307,0.22114550030922134
308,0.5236088434057691
309,0.515686131447694
310,0.4624332862090451
311,0.4727365876185827
312,0.5127920475432997
313,0.5284253904186763
314,0.3447948446999586
315,0.29934592744674987
316,0.2999521121505335
317,-0.01335144805260814
318,-0.06434558961320533
319,-0.09816996726104668
320,-0.08961809967093201
321,-0.1081747164931469
322,-0.25506835688118185
323,-0.2589065807350287
324,-0.37735673824166677
325,-0.6034813303641697
326,-0.6172701640191932
327,-0.6600295841996026
328,-0.6720894504030954
329,-0.7064353148127833
330,-0.7176784295929786
331,-0.7273241104928084
332,-0.7261709590448135
333,-0.7255828607936385
334,-0.8944632500069065
335,-0.8842373493981951
336,-0.8837676396628295
337,-0.6055794751269628
338,-1.0968861714903697
339,-1.0969821057530813
340,-1.0875971582911592
341,-1.1437326570387183
342,-1.2464166512241095
343,-1.2715716933754058
344,-1.2783375460887247
345,-1.280039822542566
346,-1.2712880003063205
347,-1.0748674290792173
348,-1.1574590102539386
349,-1.1517308024403088
350,-1.148052212747036
351,-1.1519189529720375
352,-1.0831251276752372
353,-0.6083185423209762
354,-0.5908246605078572
355,-0.5903318403469232
356,-0.6476086657670209
357,-0.6513489641062641
358,-0.6558833359735795
359,-0.6599005751925159
360,-0.6589978131268557
361,-0.6307718656160374
362,-0.5897494613796784
363,-0.5896661740079652
364,-0.589715676913026
365,-0.6111727586451469
366,-0.6028086979455167
367,-0.8230197356387443
368,-0.8140159772175173
369,-0.8142045270561598
370,-0.8236914537533231
371,-0.8238634830533786
372,-0.8230773596757923
373,-0.8117038692736781
374,-0.8071739828258516
375,-0.807110459131745
376,-0.8115820442688221
377,-0.9865457361486105
378,-0.9722272088265511
379,-0.9846769361729485
380,-0.9875538093775711
381,-0.9885735882453328
382,-1.0627073005720467
383,-1.7146206676863227
384,-1.7140950835296163
385,-1.716682935427866
