,close,volume,fg_index,trend,cluster,log_return,hl_spread,momentum_3,vol_change,rolling_std_5
2018-02-07,7599.0,60778.460497,36.0,49,1,-0.006968687593351903,1325.9899999999998,-585.8100000000004,-39423.039809999995,0.1083784038736004
2018-02-08,7784.02,1521.537318,30.0,41,1,0.024056254565828366,271.90999999999985,844.0300000000007,-59256.923179,0.10662055097740111
2018-02-09,8683.92,20482.910825,44.0,35,4,0.10940012537559372,948.1000000000004,1031.7799999999997,18961.373507,0.1102900058099768
2018-02-10,8533.98,49381.512653,54.0,28,4,-0.017417198432916687,945.7800000000007,934.9799999999996,28898.601828,0.05893175319395763
2018-02-11,8063.88,45025.187952,31.0,25,5,-0.05666101093024384,822.4700000000003,279.8599999999997,-4356.324700999998,0.06237012827116239
2018-02-12,8903.0,41987.85049,42.0,28,5,0.09899346832562467,936.0,219.07999999999993,-3037.337462000003,0.07218779562040982
2018-02-13,8539.9,35454.972956,35.0,25,5,-0.04163900046148712,599.0,5.920000000000073,-6532.877533999999,0.0795266419163495
2018-02-14,9449.99,40811.952867,55.0,25,4,0.1012643851739862,956.6000000000004,1386.1099999999997,5356.979911000002,0.0772534687077658
2018-02-15,10000.09,52427.596715,71.0,27,4,0.056580409649512595,918.0,1097.0900000000001,11615.643848,0.07611328119474191
2018-02-16,10159.98,38161.205974,67.0,25,4,0.015862380690915286,657.3700000000008,1620.08,-14266.390741000003,0.06033873155851968
2018-02-17,11039.55,41882.108407,74.0,22,4,0.08302780550417584,1025.0699999999997,1589.5599999999995,3720.902433000003,0.05718741176575112
2018-02-18,10383.43,61137.380728,63.0,25,4,-0.061273012835288285,1194.0,383.34000000000015,19255.272320999997,0.06464200640738625
2018-02-19,11153.0,40831.417131,67.0,22,4,0.07149725369905101,979.6700000000001,993.0200000000004,-20305.963596999994,0.05857016725728818
2018-02-20,11200.99,48153.354288,74.0,27,4,0.00429364723937341,685.4200000000001,161.4400000000005,7321.937157,0.05800350881595951
2018-02-21,10437.6,68113.818754,54.0,26,4,-0.07058749628237194,1104.0300000000007,54.17000000000007,19960.464466000005,0.07179055828012325
2018-02-22,9811.04,67060.166483,44.0,23,5,-0.0619063887400933,1254.4400000000005,-1341.9599999999991,-1053.6522710000136,0.06106554516146474
2018-02-23,10131.04,57202.70237,39.0,21,5,0.03209569611200183,864.8099999999995,-1069.949999999999,-9857.464112999995,0.060939146441393206
2018-02-24,9694.51,40888.156299,31.0,18,5,-0.0440442324402057,1144.9699999999993,-743.0900000000001,-16314.546070999997,0.04437094586565246
2018-02-25,9590.0,28373.517586,33.0,18,5,-0.010838857005757338,572.2000000000007,-221.04000000000087,-12514.638713,0.04207151488241278
2018-02-26,10324.0,34878.292756,37.0,19,5,0.07375039296102064,1094.3199999999997,192.95999999999913,6504.775170000001,0.055531699994329255
2018-02-27,10569.04,30705.385123,44.0,19,5,0.0234576908169124,749.0,874.5300000000007,-4172.9076330000025,0.04463520143476282
2018-02-28,10326.76,30800.983782,41.0,19,5,-0.023190388304420374,798.0,736.7600000000002,95.59865899999932,0.046128425165370725
2018-03-01,10920.0,25092.55393,38.0,18,5,0.05585738594789953,820.4099999999999,596.0,-5708.429852000001,0.0416256581676904
2018-03-02,11039.0,23910.71009,47.0,17,4,0.010838486719455614,430.0,469.9599999999991,-1181.8438399999977,0.03809408266906456
2018-03-03,11464.48,21287.15328,56.0,17,4,0.0378191028154963,528.9899999999998,1137.7199999999993,-2623.556810000002,0.029832855666456326
2018-03-04,11515.0,17295.918653,44.0,15,5,0.004396973420937615,514.9799999999996,595.0,-3991.234626999998,0.0306402316886046
2018-03-05,11454.0,15144.231063,55.0,16,4,-0.005311519300982928,294.9899999999998,415.0,-2151.6875900000014,0.025341372826079508
2018-03-06,10716.48,29515.572363,59.0,18,4,-0.06655627045932556,899.5200000000004,-748.0,14371.3413,0.03858190178562364
2018-03-07,9910.0,50647.67108,37.0,21,5,-0.07823839517044331,1509.6900000000005,-1605.0,21132.098717,0.04924621471698414
2018-03-08,9271.64,41109.473226,39.0,20,5,-0.06658406963285031,1039.0,-2182.3600000000006,-9538.197853999998,0.03878878740712022
2018-03-09,9227.0,64112.291407,37.0,24,5,-0.004826310112627507,1081.0,-1489.4799999999996,23002.818180999995,0.03613173731835326
2018-03-10,8770.22,37180.012857,39.0,16,5,-0.05077207700814944,822.9300000000003,-1139.7800000000007,-26932.278549999995,0.028853778968163508
2018-03-11,9533.57,44325.973386,40.0,16,5,0.08345736243611354,1290.0,261.9300000000003,7145.960528999996,0.06592575682329392
2018-03-12,9131.34,42230.77793,41.0,19,5,-0.043106801293249175,1108.8799999999992,-95.65999999999985,-2095.1954560000013,0.060246516987655166
2018-03-13,9150.0,40191.409358,41.0,17,5,0.002041426556296274,651.0,379.78000000000065,-2039.3685719999994,0.05337066226121165
2018-03-14,8170.0,49708.094108,40.0,19,5,-0.1132849704155184,1433.500000000001,-1363.5699999999997,9516.68475,0.07293542702131452
2018-03-15,8240.98,52291.022277,32.0,24,5,0.0086503600164496,780.0,-890.3600000000006,2582.928168999999,0.07238953570658481
2018-03-16,8260.0,38815.409893,33.0,19,5,0.0023053186445256128,711.6399999999994,-890.0,-13475.612384,0.0516323188734314
2018-03-17,7824.8,33110.206329,31.0,17,5,-0.05412641053874062,626.630000000001,-345.1999999999998,-5705.203563999996,0.05262772504685439
2018-03-18,8189.99,59488.231711,29.0,21,5,0.04561449986886557,995.3999999999996,-50.98999999999978,26378.025382,0.06218284375458539
2018-03-19,8600.0,55297.084942,29.0,20,5,0.048849526396450536,616.8299999999999,340.0,-4191.146768999999,0.04168503915643457
2018-03-20,8909.98,44865.105835,37.0,17,5,0.03540979355182516,770.0,1085.1799999999994,-10431.979107,0.04312003435598741
2018-03-21,8885.0,39972.405371,36.0,17,5,-0.002807535204672574,426.40999999999985,695.0100000000002,-4892.700464000001,0.04357269165596333
2018-03-22,8722.9,40617.556809,36.0,18,5,-0.01841271016713497,634.8999999999996,122.89999999999964,645.1514380000008,0.030440937109844267
2018-03-23,8898.03,39991.007666,28.0,15,5,0.01987815248285389,640.0,-11.949999999998909,-626.5491430000038,0.027418640993195353
