,volatility
2018-02-07,0.07400134185055812
2018-02-08,0.047295175314835444
2018-02-09,0.05807577417818955
2018-02-10,0.06350137080185474
2018-02-11,0.06985558777888679
2018-02-12,0.07752521805851244
2018-02-13,0.07464166211989555
2018-02-14,0.07812942920215082
2018-02-15,0.06396739951369063
2018-02-16,0.05435017724957362
2018-02-17,0.05085794307927755
2018-02-18,0.07260923931645577
2018-02-19,0.06659658984572936
2018-02-20,0.056410511676448796
2018-02-21,0.06767078288453744
2018-02-22,0.06213161601146064
2018-02-23,0.059234580271101935
2018-02-24,0.05223290562088352
2018-02-25,0.04286378801207369
2018-02-26,0.0589848291332199
2018-02-27,0.048432227964856356
2018-02-28,0.0448485315706121
2018-03-01,0.04582904795322119
2018-03-02,0.03780013230649474
2018-03-03,0.03264900961085428
2018-03-04,0.028656738890831347
2018-03-05,0.026354074427405606
2018-03-06,0.04574112195522084
2018-03-07,0.04988176273911298
2018-03-08,0.04372240694804332
2018-03-09,0.04190649864187825
2018-03-10,0.03553323439203897
2018-03-11,0.07059363565269483
2018-03-12,0.062360223867526376
2018-03-13,0.05153039153023678
2018-03-14,0.06964327914503234
2018-03-15,0.0630632433574116
2018-03-16,0.0535851470916829
2018-03-17,0.04804554025786671
2018-03-18,0.05555175671937258
2018-03-19,0.05326582402486414
2018-03-20,0.04499495780213254
2018-03-21,0.038791281021308986
2018-03-22,0.03572528350045515
2018-03-23,0.030575046524478088
2018-03-24,0.03574991489899305
2018-03-25,0.029195635647839814
2018-03-26,0.029261162035589643
2018-03-27,0.02691866969170697
2018-03-28,0.032873326609200074
2018-03-29,0.060555810091304424
2018-03-30,0.049714456856365864
2018-03-31,0.049756706774801665
2018-04-01,0.0408494749292853
2018-04-02,0.0447425558943693
2018-04-03,0.045350648592139144
2018-04-04,0.0644767225117911
2018-04-05,0.05326162124347232
2018-04-06,0.04389928664188237
2018-04-07,0.04828400769516257
2018-04-08,0.04019357260546863
2018-04-09,0.039515790354782
2018-04-10,0.033248986975198916
2018-04-11,0.028605908742481284
2018-04-12,0.07037532797802584
2018-04-13,0.06372629215284098
2018-04-14,0.052535598515080745
2018-04-15,0.04405418405086589
2018-04-16,0.05010463963526573
2018-04-17,0.04411954555150721
2018-04-18,0.041097976702236506
2018-04-19,0.03357157055438748
2018-04-20,0.04032534146816431
2018-04-21,0.03520193835694951
2018-04-22,0.034677385545792985
2018-04-23,0.028523220473665338
2018-04-24,0.04001977128242382
