Categoria: Tutte le categorie

Giorno,Bitcoin: (Stati Uniti)
2019-01-01,15
2019-01-02,17
2019-01-03,16
2019-01-04,16
2019-01-05,14
2019-01-06,15
2019-01-07,16
2019-01-08,15
2019-01-09,14
2019-01-10,19
2019-01-11,15
2019-01-12,15
2019-01-13,14
2019-01-14,15
2019-01-15,14
2019-01-16,15
2019-01-17,13
2019-01-18,13
2019-01-19,12
2019-01-20,12
2019-01-21,13
2019-01-22,12
2019-01-23,14
2019-01-24,13
2019-01-25,14
2019-01-26,12
2019-01-27,12
2019-01-28,14
2019-01-29,14
2019-01-30,13
2019-01-31,12
2019-02-01,12
2019-02-02,12
2019-02-03,13
2019-02-04,13
2019-02-05,15
2019-02-06,15
2019-02-07,13
2019-02-08,15
2019-02-09,14
2019-02-10,14
2019-02-11,12
2019-02-12,13
2019-02-13,13
2019-02-14,12
2019-02-15,13
2019-02-16,12
2019-02-17,11
2019-02-18,14
2019-02-19,16
2019-02-20,15
2019-02-21,14
2019-02-22,13
2019-02-23,15
2019-02-24,18
2019-02-25,15
2019-02-26,13
2019-02-27,13
2019-02-28,13
2019-03-01,12
2019-03-02,12
2019-03-03,11
2019-03-04,13
2019-03-05,13
2019-03-06,13
2019-03-07,13
2019-03-08,13
2019-03-09,13
2019-03-10,12
2019-03-11,12
2019-03-12,12
2019-03-13,12
2019-03-14,12
2019-03-15,11
2019-03-16,13
2019-03-17,12
2019-03-18,13
2019-03-19,14
2019-03-20,14
2019-03-21,13
2019-03-22,14
2019-03-23,12
2019-03-24,11
2019-03-25,12
2019-03-26,12
2019-03-27,13
2019-03-28,12
2019-03-29,14
2019-03-30,12
2019-03-31,11
2019-04-01,14
2019-04-02,37
2019-04-03,37
2019-04-04,26
2019-04-05,19
2019-04-06,18
2019-04-07,18
2019-04-08,21
2019-04-09,18
2019-04-10,20
2019-04-11,19
2019-04-12,16
2019-04-13,15
2019-04-14,15
2019-04-15,16
2019-04-16,16
2019-04-17,17
2019-04-18,16
2019-04-19,16
2019-04-20,16
2019-04-21,16
2019-04-22,16
2019-04-23,21
2019-04-24,18
2019-04-25,16
2019-04-26,17
2019-04-27,14
2019-04-28,15
2019-04-29,14
2019-04-30,14
2019-05-01,13
2019-05-02,14
2019-05-03,19
2019-05-04,17
2019-05-05,19
2019-05-06,15
2019-05-07,21
2019-05-08,20
2019-05-09,23
2019-05-10,26
2019-05-11,37
2019-05-12,40
2019-05-13,48
2019-05-14,50
2019-05-15,41
2019-05-16,37
2019-05-17,38
2019-05-18,26
2019-05-19,34
2019-05-20,34
2019-05-21,30
2019-05-22,27
2019-05-23,26
2019-05-24,26
2019-05-25,20
2019-05-26,23
2019-05-27,37
2019-05-28,31
2019-05-29,31
2019-05-30,31
2019-05-31,29
2019-06-01,24
2019-06-02,23
2019-06-03,25
2019-06-04,30
2019-06-05,22
2019-06-06,20
2019-06-07,22
2019-06-08,17
2019-06-09,17
2019-06-10,20
2019-06-11,18
2019-06-12,19
2019-06-13,21
2019-06-14,21
2019-06-15,23
2019-06-16,31
2019-06-17,32
2019-06-18,33
2019-06-19,31
2019-06-20,30
2019-06-21,40
2019-06-22,66
2019-06-23,44
2019-06-24,46
2019-06-25,49
2019-06-26,100
2019-06-27,79
2019-06-28,55
2019-06-29,39
2019-06-30,36
