Categoria: Tutte le categorie

Giorno,Bitcoin: (Stati Uniti)
2024-07-01,16
2024-07-02,15
2024-07-03,18
2024-07-04,21
2024-07-05,29
2024-07-06,19
2024-07-07,17
2024-07-08,22
2024-07-09,19
2024-07-10,18
2024-07-11,19
2024-07-12,16
2024-07-13,13
2024-07-14,17
2024-07-15,24
2024-07-16,22
2024-07-17,22
2024-07-18,19
2024-07-19,21
2024-07-20,17
2024-07-21,19
2024-07-22,22
2024-07-23,20
2024-07-24,19
2024-07-25,21
2024-07-26,22
2024-07-27,30
2024-07-28,25
2024-07-29,26
2024-07-30,21
2024-07-31,19
2024-08-01,20
2024-08-02,20
2024-08-03,18
2024-08-04,20
2024-08-05,65
2024-08-06,33
2024-08-07,25
2024-08-08,24
2024-08-09,22
2024-08-10,16
2024-08-11,17
2024-08-12,20
2024-08-13,19
2024-08-14,20
2024-08-15,20
2024-08-16,18
2024-08-17,13
2024-08-18,14
2024-08-19,17
2024-08-20,19
2024-08-21,17
2024-08-22,17
2024-08-23,19
2024-08-24,17
2024-08-25,16
2024-08-26,17
2024-08-27,18
2024-08-28,18
2024-08-29,16
2024-08-30,15
2024-08-31,12
2024-09-01,12
2024-09-02,15
2024-09-03,17
2024-09-04,17
2024-09-05,16
2024-09-06,18
2024-09-07,13
2024-09-08,13
2024-09-09,17
2024-09-10,15
2024-09-11,16
2024-09-12,15
2024-09-13,16
2024-09-14,13
2024-09-15,12
2024-09-16,14
2024-09-17,17
2024-09-18,18
2024-09-19,21
2024-09-20,19
2024-09-21,13
2024-09-22,14
2024-09-23,16
2024-09-24,15
2024-09-25,16
2024-09-26,17
2024-09-27,18
2024-09-28,14
2024-09-29,13
2024-09-30,16
2024-10-01,16
2024-10-02,15
2024-10-03,16
2024-10-04,15
2024-10-05,12
2024-10-06,12
2024-10-07,16
2024-10-08,14
2024-10-09,16
2024-10-10,15
2024-10-11,15
2024-10-12,11
2024-10-13,10
2024-10-14,16
2024-10-15,16
2024-10-16,17
2024-10-17,14
2024-10-18,17
2024-10-19,12
2024-10-20,13
2024-10-21,16
2024-10-22,15
2024-10-23,15
2024-10-24,17
2024-10-25,16
2024-10-26,12
2024-10-27,13
2024-10-28,18
2024-10-29,32
2024-10-30,23
2024-10-31,20
2024-11-01,19
2024-11-02,13
2024-11-03,13
2024-11-04,16
2024-11-05,18
2024-11-06,57
2024-11-07,40
2024-11-08,34
2024-11-09,26
2024-11-10,47
2024-11-11,83
2024-11-12,82
2024-11-13,86
2024-11-14,66
2024-11-15,49
2024-11-16,36
2024-11-17,32
2024-11-18,41
2024-11-19,44
2024-11-20,48
2024-11-21,79
2024-11-22,76
2024-11-23,54
2024-11-24,44
2024-11-25,51
2024-11-26,48
2024-11-27,47
2024-11-28,34
2024-11-29,39
2024-11-30,30
2024-12-01,30
2024-12-02,41
2024-12-03,34
2024-12-04,38
2024-12-05,100
2024-12-06,62
2024-12-07,42
2024-12-08,36
2024-12-09,41
2024-12-10,45
2024-12-11,43
2024-12-12,39
2024-12-13,33
2024-12-14,29
2024-12-15,33
2024-12-16,51
2024-12-17,46
2024-12-18,46
2024-12-19,47
2024-12-20,47
2024-12-21,31
2024-12-22,28
2024-12-23,35
2024-12-24,34
2024-12-25,31
2024-12-26,34
2024-12-27,32
2024-12-28,25
2024-12-29,25
2024-12-30,34
2024-12-31,29
