Categoria: Tutte le categorie

Giorno,Bitcoin: (Stati Uniti)
2023-01-01,41
2023-01-02,50
2023-01-03,51
2023-01-04,53
2023-01-05,49
2023-01-06,48
2023-01-07,39
2023-01-08,38
2023-01-09,52
2023-01-10,52
2023-01-11,50
2023-01-12,65
2023-01-13,65
2023-01-14,85
2023-01-15,63
2023-01-16,74
2023-01-17,70
2023-01-18,70
2023-01-19,61
2023-01-20,64
2023-01-21,68
2023-01-22,61
2023-01-23,66
2023-01-24,64
2023-01-25,58
2023-01-26,58
2023-01-27,53
2023-01-28,45
2023-01-29,54
2023-01-30,53
2023-01-31,58
2023-02-01,57
2023-02-02,64
2023-02-03,56
2023-02-04,44
2023-02-05,44
2023-02-06,49
2023-02-07,36
2023-02-08,34
2023-02-09,42
2023-02-10,41
2023-02-11,34
2023-02-12,33
2023-02-13,36
2023-02-14,34
2023-02-15,45
2023-02-16,57
2023-02-17,47
2023-02-18,36
2023-02-19,36
2023-02-20,41
2023-02-21,44
2023-02-22,40
2023-02-23,37
2023-02-24,35
2023-02-25,32
2023-02-26,32
2023-02-27,35
2023-02-28,24
2023-03-01,46
2023-03-02,44
2023-03-03,54
2023-03-04,39
2023-03-05,37
2023-03-06,45
2023-03-07,43
2023-03-08,45
2023-03-09,56
2023-03-10,75
2023-03-11,64
2023-03-12,63
2023-03-13,96
2023-03-14,100
2023-03-15,76
2023-03-16,66
2023-03-17,80
2023-03-18,76
2023-03-19,88
2023-03-20,99
2023-03-21,91
2023-03-22,92
2023-03-23,84
2023-03-24,74
2023-03-25,57
2023-03-26,58
2023-03-27,67
2023-03-28,63
2023-03-29,68
2023-03-30,69
2023-03-31,62
2023-04-01,58
2023-04-02,57
2023-04-03,62
2023-04-04,60
2023-04-05,64
2023-04-06,62
2023-04-07,53
2023-04-08,50
2023-04-09,47
2023-04-10,69
2023-04-11,96
2023-04-12,84
2023-04-13,75
2023-04-14,78
2023-04-15,62
2023-04-16,57
2023-04-17,68
2023-04-18,63
2023-04-19,62
2023-04-20,61
2023-04-21,59
2023-04-22,50
2023-04-23,51
2023-04-24,59
2023-04-25,56
2023-04-26,65
2023-04-27,62
2023-04-28,54
2023-04-29,43
2023-04-30,48
2023-05-01,58
2023-05-02,57
2023-05-03,55
2023-05-04,56
2023-05-05,51
2023-05-06,48
2023-05-07,45
2023-05-08,61
2023-05-09,52
2023-05-10,54
2023-05-11,53
2023-05-12,55
2023-05-13,43
2023-05-14,41
2023-05-15,50
2023-05-16,52
2023-05-17,51
2023-05-18,52
2023-05-19,48
2023-05-20,43
2023-05-21,40
2023-05-22,49
2023-05-23,50
2023-05-24,48
2023-05-25,47
2023-05-26,42
2023-05-27,36
2023-05-28,39
2023-05-29,47
2023-05-30,49
2023-05-31,46
2023-06-01,45
2023-06-02,41
2023-06-03,37
2023-06-04,35
2023-06-05,57
2023-06-06,64
2023-06-07,56
2023-06-08,57
2023-06-09,45
2023-06-10,52
2023-06-11,45
2023-06-12,49
2023-06-13,45
2023-06-14,45
2023-06-15,54
2023-06-16,50
2023-06-17,39
2023-06-18,39
2023-06-19,45
2023-06-20,58
2023-06-21,84
2023-06-22,71
2023-06-23,70
2023-06-24,58
2023-06-25,52
2023-06-26,57
2023-06-27,61
2023-06-28,53
2023-06-29,57
2023-06-30,61
