Categoria: Tutte le categorie

Giorno,Bitcoin: (Stati Uniti)
2018-01-01,40
2018-01-02,52
2018-01-03,53
2018-01-04,51
2018-01-05,50
2018-01-06,48
2018-01-07,43
2018-01-08,50
2018-01-09,44
2018-01-10,46
2018-01-11,56
2018-01-12,41
2018-01-13,38
2018-01-14,36
2018-01-15,34
2018-01-16,75
2018-01-17,100
2018-01-18,67
2018-01-19,47
2018-01-20,40
2018-01-21,36
2018-01-22,41
2018-01-23,43
2018-01-24,39
2018-01-25,39
2018-01-26,37
2018-01-27,30
2018-01-28,28
2018-01-29,28
2018-01-30,35
2018-01-31,36
2018-02-01,45
2018-02-02,65
2018-02-03,42
2018-02-04,34
2018-02-05,63
2018-02-06,78
2018-02-07,49
2018-02-08,41
2018-02-09,35
2018-02-10,28
2018-02-11,25
2018-02-12,28
2018-02-13,25
2018-02-14,25
2018-02-15,27
2018-02-16,25
2018-02-17,22
2018-02-18,25
2018-02-19,22
2018-02-20,27
2018-02-21,26
2018-02-22,23
2018-02-23,21
2018-02-24,18
2018-02-25,18
2018-02-26,19
2018-02-27,19
2018-02-28,19
2018-03-01,18
2018-03-02,17
2018-03-03,17
2018-03-04,15
2018-03-05,16
2018-03-06,18
2018-03-07,21
2018-03-08,20
2018-03-09,24
2018-03-10,16
2018-03-11,16
2018-03-12,19
2018-03-13,17
2018-03-14,19
2018-03-15,24
2018-03-16,19
2018-03-17,17
2018-03-18,21
2018-03-19,20
2018-03-20,17
2018-03-21,17
2018-03-22,18
2018-03-23,15
2018-03-24,12
2018-03-25,12
2018-03-26,17
2018-03-27,17
2018-03-28,16
2018-03-29,19
2018-03-30,22
2018-03-31,15
2018-04-01,16
2018-04-02,19
2018-04-03,18
2018-04-04,16
2018-04-05,16
2018-04-06,16
2018-04-07,13
2018-04-08,12
2018-04-09,16
2018-04-10,15
2018-04-11,14
2018-04-12,18
2018-04-13,17
2018-04-14,12
2018-04-15,12
2018-04-16,14
2018-04-17,14
2018-04-18,15
2018-04-19,14
2018-04-20,15
2018-04-21,13
2018-04-22,12
2018-04-23,14
2018-04-24,18
2018-04-25,17
2018-04-26,13
2018-04-27,13
2018-04-28,10
2018-04-29,10
2018-04-30,12
2018-05-01,12
2018-05-02,11
2018-05-03,12
2018-05-04,12
2018-05-05,11
2018-05-06,10
2018-05-07,12
2018-05-08,12
2018-05-09,12
2018-05-10,11
2018-05-11,14
2018-05-12,10
2018-05-13,10
2018-05-14,12
2018-05-15,11
2018-05-16,11
2018-05-17,11
2018-05-18,11
2018-05-19,8
2018-05-20,8
2018-05-21,9
2018-05-22,10
2018-05-23,13
2018-05-24,13
2018-05-25,10
2018-05-26,9
2018-05-27,9
2018-05-28,11
2018-05-29,11
2018-05-30,10
2018-05-31,9
2018-06-01,8
2018-06-02,8
2018-06-03,8
2018-06-04,9
2018-06-05,9
2018-06-06,10
2018-06-07,8
2018-06-08,9
2018-06-09,8
2018-06-10,11
2018-06-11,18
2018-06-12,13
2018-06-13,14
2018-06-14,14
2018-06-15,10
2018-06-16,8
2018-06-17,8
2018-06-18,10
2018-06-19,10
2018-06-20,10
2018-06-21,8
2018-06-22,13
2018-06-23,11
2018-06-24,12
2018-06-25,11
2018-06-26,10
2018-06-27,10
2018-06-28,10
2018-06-29,14
2018-06-30,12
