Categoria: Tutte le categorie

Giorno,Bitcoin: (Stati Uniti)
2022-01-01,26
2022-01-02,25
2022-01-03,28
2022-01-04,33
2022-01-05,34
2022-01-06,40
2022-01-07,46
2022-01-08,39
2022-01-09,34
2022-01-10,41
2022-01-11,37
2022-01-12,34
2022-01-13,35
2022-01-14,25
2022-01-15,25
2022-01-16,22
2022-01-17,26
2022-01-18,28
2022-01-19,26
2022-01-20,27
2022-01-21,66
2022-01-22,75
2022-01-23,53
2022-01-24,88
2022-01-25,50
2022-01-26,45
2022-01-27,42
2022-01-28,42
2022-01-29,34
2022-01-30,31
2022-01-31,33
2022-02-01,32
2022-02-02,31
2022-02-03,32
2022-02-04,35
2022-02-05,35
2022-02-06,29
2022-02-07,38
2022-02-08,36
2022-02-09,37
2022-02-10,30
2022-02-11,31
2022-02-12,28
2022-02-13,25
2022-02-14,32
2022-02-15,32
2022-02-16,28
2022-02-17,31
2022-02-18,30
2022-02-19,27
2022-02-20,29
2022-02-21,31
2022-02-22,37
2022-02-23,31
2022-02-24,55
2022-02-25,40
2022-02-26,28
2022-02-27,29
2022-02-28,37
2022-03-01,40
2022-03-02,32
2022-03-03,29
2022-03-04,28
2022-03-05,25
2022-03-06,24
2022-03-07,30
2022-03-08,30
2022-03-09,35
2022-03-10,32
2022-03-11,28
2022-03-12,24
2022-03-13,24
2022-03-14,26
2022-03-15,26
2022-03-16,26
2022-03-17,25
2022-03-18,24
2022-03-19,23
2022-03-20,22
2022-03-21,23
2022-03-22,25
2022-03-23,23
2022-03-24,26
2022-03-25,25
2022-03-26,21
2022-03-27,25
2022-03-28,33
2022-03-29,27
2022-03-30,26
2022-03-31,24
2022-04-01,24
2022-04-02,22
2022-04-03,21
2022-04-04,23
2022-04-05,22
2022-04-06,25
2022-04-07,25
2022-04-08,24
2022-04-09,22
2022-04-10,21
2022-04-11,29
2022-04-12,26
2022-04-13,24
2022-04-14,22
2022-04-15,21
2022-04-16,19
2022-04-17,18
2022-04-18,23
2022-04-19,21
2022-04-20,20
2022-04-21,20
2022-04-22,21
2022-04-23,19
2022-04-24,18
2022-04-25,22
2022-04-26,25
2022-04-27,22
2022-04-28,22
2022-04-29,20
2022-04-30,20
2022-05-01,21
2022-05-02,21
2022-05-03,20
2022-05-04,20
2022-05-05,27
2022-05-06,28
2022-05-07,22
2022-05-08,27
2022-05-09,52
2022-05-10,53
2022-05-11,61
2022-05-12,88
2022-05-13,66
2022-05-14,46
2022-05-15,39
2022-05-16,40
2022-05-17,35
2022-05-18,38
2022-05-19,36
2022-05-20,32
2022-05-21,29
2022-05-22,25
2022-05-23,30
2022-05-24,30
2022-05-25,26
2022-05-26,27
2022-05-27,28
2022-05-28,22
2022-05-29,22
2022-05-30,25
2022-05-31,28
2022-06-01,25
2022-06-02,23
2022-06-03,24
2022-06-04,20
2022-06-05,19
2022-06-06,24
2022-06-07,27
2022-06-08,22
2022-06-09,22
2022-06-10,24
2022-06-11,25
2022-06-12,32
2022-06-13,100
2022-06-14,99
2022-06-15,76
2022-06-16,67
2022-06-17,59
2022-06-18,92
2022-06-19,88
2022-06-20,67
2022-06-21,54
2022-06-22,47
2022-06-23,40
2022-06-24,35
2022-06-25,28
2022-06-26,27
2022-06-27,37
2022-06-28,33
2022-06-29,36
2022-06-30,44
