Categoria: Tutte le categorie

Giorno,Bitcoin: (Stati Uniti)
2019-07-01,9
2019-07-02,9
2019-07-03,9
2019-07-04,7
2019-07-05,7
2019-07-06,6
2019-07-07,5
2019-07-08,7
2019-07-09,9
2019-07-10,9
2019-07-11,8
2019-07-12,8
2019-07-13,6
2019-07-14,7
2019-07-15,9
2019-07-16,9
2019-07-17,8
2019-07-18,8
2019-07-19,6
2019-07-20,5
2019-07-21,5
2019-07-22,5
2019-07-23,6
2019-07-24,6
2019-07-25,5
2019-07-26,5
2019-07-27,6
2019-07-28,5
2019-07-29,5
2019-07-30,5
2019-07-31,5
2019-08-01,5
2019-08-02,5
2019-08-03,5
2019-08-04,4
2019-08-05,8
2019-08-06,8
2019-08-07,6
2019-08-08,6
2019-08-09,5
2019-08-10,5
2019-08-11,4
2019-08-12,5
2019-08-13,5
2019-08-14,6
2019-08-15,7
2019-08-16,5
2019-08-17,4
2019-08-18,4
2019-08-19,4
2019-08-20,4
2019-08-21,5
2019-08-22,4
2019-08-23,4
2019-08-24,4
2019-08-25,4
2019-08-26,4
2019-08-27,4
2019-08-28,5
2019-08-29,5
2019-08-30,60
2019-08-31,100
2019-09-01,93
2019-09-02,71
2019-09-03,61
2019-09-04,70
2019-09-05,78
2019-09-06,66
2019-09-07,46
2019-09-08,45
2019-09-09,42
2019-09-10,40
2019-09-11,42
2019-09-12,42
2019-09-13,39
2019-09-14,45
2019-09-15,45
2019-09-16,39
2019-09-17,41
2019-09-18,37
2019-09-19,37
2019-09-20,31
2019-09-21,35
2019-09-22,31
2019-09-23,29
2019-09-24,24
2019-09-25,21
2019-09-26,18
2019-09-27,7
2019-09-28,4
2019-09-29,4
2019-09-30,4
2019-10-01,4
2019-10-02,4
2019-10-03,4
2019-10-04,4
2019-10-05,4
2019-10-06,3
2019-10-07,4
2019-10-08,4
2019-10-09,4
2019-10-10,4
2019-10-11,4
2019-10-12,3
2019-10-13,3
2019-10-14,3
2019-10-15,3
2019-10-16,4
2019-10-17,3
2019-10-18,3
2019-10-19,3
2019-10-20,4
2019-10-21,3
2019-10-22,3
2019-10-23,5
2019-10-24,4
2019-10-25,5
2019-10-26,8
2019-10-27,4
2019-10-28,5
2019-10-29,4
2019-10-30,4
2019-10-31,4
2019-11-01,3
2019-11-02,3
2019-11-03,3
2019-11-04,4
2019-11-05,4
2019-11-06,3
2019-11-07,3
2019-11-08,4
2019-11-09,3
2019-11-10,3
2019-11-11,3
2019-11-12,3
2019-11-13,3
2019-11-14,3
2019-11-15,3
2019-11-16,3
2019-11-17,3
2019-11-18,3
2019-11-19,4
2019-11-20,3
2019-11-21,4
2019-11-22,5
2019-11-23,4
2019-11-24,4
2019-11-25,5
2019-11-26,4
2019-11-27,4
2019-11-28,4
2019-11-29,3
2019-11-30,3
2019-12-01,3
2019-12-02,3
2019-12-03,3
2019-12-04,3
2019-12-05,3
2019-12-06,3
2019-12-07,3
2019-12-08,3
2019-12-09,3
2019-12-10,3
2019-12-11,3
2019-12-12,3
2019-12-13,3
2019-12-14,3
2019-12-15,3
2019-12-16,3
2019-12-17,4
2019-12-18,4
2019-12-19,4
2019-12-20,4
2019-12-21,3
2019-12-22,3
2019-12-23,3
2019-12-24,3
2019-12-25,3
2019-12-26,3
2019-12-27,3
2019-12-28,4
2019-12-29,3
2019-12-30,3
2019-12-31,3
