Categoria: Tutte le categorie

Giorno,Bitcoin: (Stati Uniti)
2025-01-01,46
2025-01-02,56
2025-01-03,52
2025-01-04,45
2025-01-05,43
2025-01-06,57
2025-01-07,60
2025-01-08,54
2025-01-09,56
2025-01-10,55
2025-01-11,40
2025-01-12,40
2025-01-13,57
2025-01-14,51
2025-01-15,55
2025-01-16,60
2025-01-17,69
2025-01-18,57
2025-01-19,62
2025-01-20,100
2025-01-21,89
2025-01-22,71
2025-01-23,79
2025-01-24,71
2025-01-25,51
2025-01-26,49
2025-01-27,70
2025-01-28,61
2025-01-29,52
2025-01-30,53
2025-01-31,54
2025-02-01,43
2025-02-02,60
2025-02-03,92
2025-02-04,63
2025-02-05,54
2025-02-06,50
2025-02-07,49
2025-02-08,39
2025-02-09,39
2025-02-10,41
2025-02-11,41
2025-02-12,43
2025-02-13,39
2025-02-14,44
2025-02-15,34
2025-02-16,34
2025-02-17,38
2025-02-18,45
2025-02-19,40
2025-02-20,40
2025-02-21,45
2025-02-22,35
2025-02-23,33
2025-02-24,44
2025-02-25,82
2025-02-26,67
2025-02-27,68
2025-02-28,86
2025-03-01,50
2025-03-02,73
2025-03-03,92
2025-03-04,82
2025-03-05,63
2025-03-06,59
2025-03-07,84
2025-03-08,52
2025-03-09,51
2025-03-10,86
2025-03-11,81
2025-03-12,61
2025-03-13,56
2025-03-14,51
2025-03-15,41
2025-03-16,47
2025-03-17,47
2025-03-18,44
2025-03-19,46
2025-03-20,43
2025-03-21,36
2025-03-22,30
2025-03-23,33
2025-03-24,44
2025-03-25,43
2025-03-26,43
2025-03-27,36
2025-03-28,39
2025-03-29,31
2025-03-30,34
2025-03-31,45
2025-04-01,36
2025-04-02,40
2025-04-03,57
2025-04-04,58
2025-04-05,40
2025-04-06,53
2025-04-07,82
2025-04-08,61
2025-04-09,70
2025-04-10,53
2025-04-11,44
2025-04-12,39
2025-04-13,38
2025-04-14,41
2025-04-15,39
2025-04-16,37
2025-04-17,35
2025-04-18,32
2025-04-19,27
2025-04-20,30
2025-04-21,50
2025-04-22,52
2025-04-23,51
2025-04-24,42
2025-04-25,42
2025-04-26,33
2025-04-27,34
2025-04-28,42
2025-04-29,41
